,sample,boot_med,boot_low,boot_high,actual_med
0,A10-e003Coalescence-mGAM-p3,0.447,0.444,0.44999999999999996,0.447
1,A10-e003Coalescence-mGAM-p7,0.9924019781061553,0.9918524298070079,0.9930064905260017,0.9781923025578108
2,A4-e003Coalescence-Inoculumn-mGAM,0.569,0.567,0.571,0.569
3,C2-e003Coalescence-Inoculumn-mGAM,0.5,0.5,0.5,0.5
4,C8-e003Coalescence-mGAM-p7,0.9954457476161899,0.9950975049176742,0.995784697771514,0.9934331048005519
5,E100-e003Coalescence-mGAM-p3_S155,0.694,0.692,0.698,0.694
6,E100-e003Coalescence-mGAM-p5_S55,0.75,0.75,0.76,0.75
7,E100-e003Coalescence-mGAM-p7_S151,0.7,0.7,0.706,0.7
8,G8-e003Coalescence-mGAM-p3_S177,0.75,0.75,0.753,0.75
9,G8-e003Coalescence-mGAM-p5_S77,0.645,0.643,0.647,0.645
10,G8-e003Coalescence-mGAM-p7_S173,0.833,0.833,0.837,0.833
