,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,455,890
A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,291,577
B4-e003Coalescence-Inoculumn-mBHI,449,881
B4-e003Coalescence-mBHI-p1_S733,199,424
B4-e003Coalescence-mBHI-p3,369,661
B4-e003Coalescence-mGAM-p1_S737,189,362
C3-e003Coalescence-mBHI-inoculumn-redo,454,889
C3-e003Coalescence-mBHI-p1_S726,224,502
C3-e003Coalescence-mBHI-p5,351,698
C3-e003Coalescence-mBHI-p7,455,891
C3-e003Coalescence-mGAM-p7,306,650
Coalescence-D12-B4-ACPP-AE-mBHI-mGAM-3_S667,320,573
Coalescence-E4-C3-ACPP-AE-mBHI-mBHI-3_S671,455,891
F4-e003Coalescence-mBHI-p5_S15,425,860
F4-e003Coalescence-mBHI-p7_S111,439,841
G3-e003Coalescence-mBHI-p1_S790,251,519
G3-e003Coalescence-mBHI-p3_S34,446,876
G3-e003Coalescence-mBHI-p5_S26,453,882
G3-e003Coalescence-mBHI-p7_S122,407,768
G3-e003Coalescence-mGAM-p5_S74,295,575
