,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,1197,907
A3-e003Coalescence-mBHI-p1_S724,3395,2487
A3-e003Coalescence-mGAM-p1_S728,4756,3452
A3-e003Coalescence-mGAM-p7,4736,3402
B2-e003Coalescence-Inoculumn-mBHI,3456,2349
B2-e003Coalescence-mBHI-p1_S717,2646,1964
B2-e003Coalescence-mGAM-p3,4642,3335
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,4837,3470
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,4868,3499
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,4868,3498
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,4868,3499
E3-e003Coalescence-mGAM-p1_S792,4701,3394
E3-e003Coalescence-mGAM-p3_S58,4605,3351
E3-e003Coalescence-mGAM-p5_S50,4866,3498
E3-e003Coalescence-mGAM-p7_S146,3976,2898
F2-e003Coalescence-mBHI-p1_S781,1780,1349
F2-e003Coalescence-mGAM-p1_S785,4827,3488
F2-e003Coalescence-mGAM-p3_S69,4150,2971
F2-e003Coalescence-mGAM-p5_S61,4851,3493
F2-e003Coalescence-mGAM-p7_S157,3617,2458
