,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,2167,1422
A9-e003Coalescence-mBHI-p1_S756,3197,2091
A9-e003Coalescence-mBHI-p3,3194,2084
A9-e003Coalescence-mBHI-p5,3129,2039
A9-e003Coalescence-mBHI-p7,3197,2091
A9-e003Coalescence-mGAM-p1_S760,2742,1814
A9-e003Coalescence-mGAM-p5,3172,2077
A9-e003Coalescence-mGAM-p7,2884,1836
B2-e003Coalescence-Inoculumn-mGAM,3081,2011
B8-e003Coalescence-mBHI-p1_S749,3189,2085
B8-e003Coalescence-mBHI-p5,3185,2067
B8-e003Coalescence-mBHI-p7,3142,2054
B8-e003Coalescence-mGAM-p1_S753,1934,1332
B8-e003Coalescence-mGAM-p5,2918,1896
B8-e003Coalescence-mGAM-p7,3027,1961
Coalescence-D10-A9-AA-ACPP-mGAM-mGAM-3_S665,3167,2048
Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668,3197,2091
E9-e003Coalescence-mBHI-p1_S820,3197,2091
E9-e003Coalescence-mBHI-p5_S6,3148,2049
E9-e003Coalescence-mBHI-p7_S102,3155,2043
E9-e003Coalescence-mGAM-p1_S824,933,587
E9-e003Coalescence-mGAM-p3_S154,3179,2060
E9-e003Coalescence-mGAM-p5_S54,2062,1315
F8-e003Coalescence-mBHI-p1_S813,2703,1779
F8-e003Coalescence-mBHI-p3_S117,3134,2016
F8-e003Coalescence-mBHI-p5_S17,3122,2036
F8-e003Coalescence-mBHI-p7_S113,3037,1985
F8-e003Coalescence-mGAM-p1_S817,1205,790
F8-e003Coalescence-mGAM-p5_S65,1415,879
F8-e003Coalescence-mGAM-p7_S161,2218,1309
