,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p1_S764,3343,6264
A10-e003Coalescence-mBHI-p5,3044,5632
A10-e003Coalescence-mBHI-p7,3117,5819
A10-e003Coalescence-mGAM-p3,3179,5828
A10-e003Coalescence-mGAM-p7,3248,6019
A4-e003Coalescence-Inoculumn-mGAM,3346,6251
C2-e003Coalescence-Inoculumn-mGAM,3274,6132
C8-e003Coalescence-mBHI-p1_S750,3174,5965
C8-e003Coalescence-mBHI-p5,3351,6268
C8-e003Coalescence-mBHI-p7,3224,6011
C8-e003Coalescence-mGAM-p7,3185,5908
Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,3339,6219
Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,3284,6082
Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,3352,6264
Coalescence-E7-C8-AA-AE-mGAM-mGAM-3_S674,3308,6147
Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681,3352,6261
Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,3112,5759
E10-e003Coalescence-mBHI-p1_S828,3353,6272
E100-e003Coalescence-mBHI-p5_S7,3344,6242
E100-e003Coalescence-mBHI-p7_S103,3130,5860
E100-e003Coalescence-mGAM-p3_S155,2595,4733
E100-e003Coalescence-mGAM-p5_S55,2951,5389
E100-e003Coalescence-mGAM-p7_S151,3259,5957
G8-e003Coalescence-mBHI-p1_S814,3328,6217
G8-e003Coalescence-mBHI-p3_S129,3351,6255
G8-e003Coalescence-mBHI-p5_S29,3327,6237
G8-e003Coalescence-mBHI-p7_S125,3266,6114
G8-e003Coalescence-mGAM-p3_S177,1107,1984
G8-e003Coalescence-mGAM-p5_S77,2964,5344
G8-e003Coalescence-mGAM-p7_S173,3310,6096
