,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p1_S773,2053,3287
B11-e003Coalescence-mBHI-p3,2816,4749
B11-e003Coalescence-mGAM-p3,3112,5203
B11-e003Coalescence-mGAM-p7,2079,3605
B5-e003Coalescence-Inoculumn-mGAM,3082,5131
B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,3069,5156
B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,866,1326
B_H10_D9_ACPP_AF_mGAM_mGAM_4_S190,2669,4554
B_H6_H9_ACPP_AF_mGAM_mGAM_2_S186,3108,5189
Coalescence-C11-B11-ACPP-AF-mGAM-mBHI-5_S654,3098,5187
Coalescence-C12-B11-ACPP-AF-mGAM-mGAM-5_S655,3108,5200
D3-e003Coalescence-Inoculumn-mGAM,3107,5190
D9-e003Coalescence-mBHI-p1_S759,2175,3355
D9-e003Coalescence-mBHI-p5,2978,5013
D9-e003Coalescence-mBHI-p7,2706,4605
D9-e003Coalescence-mGAM-p1_S763,2911,4778
D9-e003Coalescence-mGAM-p3,3078,5172
D9-e003Coalescence-mGAM-p5,3084,5150
D9-e003Coalescence-mGAM-p7,2857,4755
F11-e003Coalescence-mBHI-p1_S837,2495,3993
F11-e003Coalescence-mGAM-p1_S841,714,1168
F111-e003Coalescence-mBHI-p3_S120,2651,4560
F111-e003Coalescence-mBHI-p5_S20,1958,3407
F111-e003Coalescence-mBHI-p7_S116,2936,4928
F111-e003Coalescence-mGAM-p3_S168,3046,5041
F111-e003Coalescence-mGAM-p5_S68,2058,3446
F111-e003Coalescence-mGAM-p7_S164,2958,4957
H9-e003Coalescence-mBHI-p1_S823,3059,5055
H9-e003Coalescence-mBHI-p5_S42,3064,5132
H9-e003Coalescence-mBHI-p7_S138,2167,3804
H9-e003Coalescence-mGAM-p1_S827,2562,4114
H9-e003Coalescence-mGAM-p5_S90,2813,4721
H9-e003Coalescence-mGAM-p7_S186,2894,4876
