,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A_C8_C11_AF_AE_mGAM_mBHI_2_S32,11428,6618
A_G8_C11_AF_AE_mGAM_mGAM_2_S80,11458,6604
B_C12_C11_AF_AE_mGAM_mBHI_4_S132,11487,6619
B_C8_G11_AF_AE_mGAM_mBHI_2_S128,5985,3544
B_D11_D10_AE_AF_mGAM_mBHI_4_S143,11472,6614
B_D7_H10_AE_AF_mGAM_mBHI_2_S139,11508,6625
B_G12_C11_AF_AE_mGAM_mGAM_4_S180,6934,3706
B_G8_G11_AF_AE_mGAM_mGAM_2_S176,11086,6329
B_H7_H10_AE_AF_mGAM_mGAM_2_S187,11467,6571
C11-e003Coalescence-mBHI-p1_S774,9298,5197
C11-e003Coalescence-mBHI-p3,11121,6425
C11-e003Coalescence-mBHI-p5,11501,6621
C11-e003Coalescence-mGAM-p1_S778,4815,2541
C11-e003Coalescence-mGAM-p3,11494,6614
C11-e003Coalescence-mGAM-p5,11232,6440
C11-e003Coalescence-mGAM-p7,10479,5925
C5-e003Coalescence-Inoculumn-mGAM,11462,6603
C_C8_C11_AF_AE_mGAM_mBHI_6_S224,11499,6624
C_D7_D10_AE_AF_mGAM_mBHI_6_S235,11508,6625
C_G8_C11_AF_AE_mGAM_mGAM_6_S272,10640,6101
C_H7_D10_AE_AF_mGAM_mGAM_6_S283,11504,6614
Coalescence-A10-C11-AE-AF-mGAM-mBHI-7_S629,11498,6624
D10-e003Coalescence-mBHI-p3,11371,6562
D10-e003Coalescence-mBHI-p5,10818,6211
D10-e003Coalescence-mBHI-p7,11292,6548
D10-e003Coalescence-mGAM-p1_S771,11421,6558
D10-e003Coalescence-mGAM-p3,6469,3632
D10-e003Coalescence-mGAM-p5,11460,6595
D10-e003Coalescence-mGAM-p7,11387,6535
D4-e003Coalescence-Inoculumn-mGAM,10518,6067
D_C12_G11_AF_AE_mGAM_mBHI_4_S324,11508,6624
D_C8_C11_AF_AE_mGAM_mBHI_6_S320,11483,6620
D_D11_H10_AE_AF_mGAM_mBHI_4_S335,11509,6624
D_D6_D9_ACPP_AF_mGAM_mBHI_6_S330,11440,6601
D_D7_D10_AE_AF_mGAM_mBHI_6_S331,11499,6625
D_G12_G11_AF_AE_mGAM_mGAM_4_S372,11509,6614
D_G8_C11_AF_AE_mGAM_mGAM_6_S368,11509,6624
D_H11_H10_AE_AF_mGAM_mGAM_4_S383,9134,5238
D_H7_D10_AE_AF_mGAM_mGAM_6_S379,10188,5713
G11-e003Coalescence-mBHI-p1_S838,11065,6349
G11-e003Coalescence-mGAM-p1_S842,10612,6035
G111-e003Coalescence-mBHI-p5_S32,11479,6620
G111-e003Coalescence-mBHI-p7_S128,11269,6521
G111-e003Coalescence-mGAM-p3_S180,11235,6392
G111-e003Coalescence-mGAM-p5_S80,11157,6370
H10-e003Coalescence-mBHI-p1_S831,11493,6610
H10-e003Coalescence-mGAM-p1_S835,11011,6232
H100-e003Coalescence-mBHI-p5_S43,11483,6616
H100-e003Coalescence-mBHI-p7_S139,11473,6614
