,sample,boot_med,boot_low,boot_high,actual_med
0,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,0.13,0.129,0.132,0.13
1,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,0.872,0.871,0.875,0.872
2,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,0.4,0.4,0.405,0.4
3,B_C8_G11_AF_AE_mGAM_mBHI_2_S128,0.5,0.5,0.5,0.5
4,B_D11_D10_AE_AF_mGAM_mBHI_4_S143,0.43799999999999994,0.4324875,0.44,0.43799999999999994
5,B_D7_H10_AE_AF_mGAM_mBHI_2_S139,0.596,0.595,0.598,0.596
6,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,0.9315289477172523,0.9260613799900095,0.937264440137335,0.9315384644884571
7,B_G8_G11_AF_AE_mGAM_mGAM_2_S176,0.16589145216394574,0.14661695098626376,0.1861687341464262,0.16580310880829016
8,B_H7_H10_AE_AF_mGAM_mGAM_2_S187,0.904,0.902,0.906,0.904
9,C11-e003Coalescence-mBHI-p1_S774,0.27416399545031533,0.2374404117434763,0.3165229708399933,0.27551942186088524
10,C11-e003Coalescence-mBHI-p3,0.263,0.261,0.267,0.263
11,C11-e003Coalescence-mBHI-p5,0.281,0.279,0.284,0.282
12,C11-e003Coalescence-mGAM-p1_S778,0.9354199281499904,0.929146130868711,0.9431175102044335,0.9354373633754193
13,C11-e003Coalescence-mGAM-p3,0.963,0.961,0.9660249999999999,0.963
14,C11-e003Coalescence-mGAM-p5,0.12098820719510375,0.1006311650686349,0.14756550145195632,0.12103653629486559
15,C11-e003Coalescence-mGAM-p7,0.22816396050247134,0.19111219909956373,0.9538376921217342,0.22771213748657357
16,C5-e003Coalescence-Inoculumn-mGAM,0.394,0.389,0.396025,0.394
17,C_C8_C11_AF_AE_mGAM_mBHI_6_S224,0.30300000000000005,0.301,0.305,0.30300000000000005
18,C_D7_D10_AE_AF_mGAM_mBHI_6_S235,0.36,0.357,0.362,0.36
19,C_G8_C11_AF_AE_mGAM_mGAM_6_S272,0.1726404590613224,0.13870054114835897,0.21090070643642073,0.17212121212121212
20,C_H7_D10_AE_AF_mGAM_mGAM_6_S283,0.02233370098119195,0.0201355609856065,0.024693230177463703,0.022311112527689685
21,Coalescence-A10-C11-AE-AF-mGAM-mBHI-7_S629,0.379,0.377,0.381,0.379
22,D10-e003Coalescence-mBHI-p3,0.375,0.368,0.379,0.375
23,D10-e003Coalescence-mBHI-p5,0.44999999999999996,0.444,0.455,0.44999999999999996
24,D10-e003Coalescence-mBHI-p7,0.4,0.4,0.406,0.4
25,D10-e003Coalescence-mGAM-p1_S771,0.08743413888701615,0.07982124108700948,0.09556156025338984,0.0875298985066908
26,D10-e003Coalescence-mGAM-p3,0.34236246804501114,0.29134052652182424,0.40254730671000694,0.34173669467787116
27,D10-e003Coalescence-mGAM-p5,0.059684195277415614,0.05046496874173114,0.06997798768952851,0.05957147874956094
28,D10-e003Coalescence-mGAM-p7,0.08638583638583638,0.07349019889296037,0.09959643595698481,0.08607671398369074
29,D4-e003Coalescence-Inoculumn-mGAM,0.364,0.364,0.375,0.364
30,D_C12_G11_AF_AE_mGAM_mBHI_4_S324,0.443,0.44,0.44599999999999995,0.443
31,D_C8_C11_AF_AE_mGAM_mBHI_6_S320,0.241,0.239,0.242,0.241
32,D_D11_H10_AE_AF_mGAM_mBHI_4_S335,0.5,0.5,0.5070125,0.5
33,D_D6_D9_ACPP_AF_mGAM_mBHI_6_S330,0.6,0.593,0.6,0.6
34,D_D7_D10_AE_AF_mGAM_mBHI_6_S331,0.344,0.34199999999999997,0.346,0.344
35,D_G12_G11_AF_AE_mGAM_mGAM_4_S372,0.957,0.957,0.958,0.957
36,D_G8_C11_AF_AE_mGAM_mGAM_6_S368,0.973,0.035331888980146095,0.977,0.974
37,D_H11_H10_AE_AF_mGAM_mGAM_4_S383,0.9679092074799036,0.963830128376274,0.9726693298280608,0.9679071619168867
38,D_H7_D10_AE_AF_mGAM_mGAM_6_S379,0.9541352020846222,0.12156512605042015,0.9575078542180485,0.9541324702484185
39,G11-e003Coalescence-mBHI-p1_S838,0.833,0.826,0.842,0.833
40,G11-e003Coalescence-mGAM-p1_S842,0.1971102678717621,0.17530532871652013,0.22104389937670957,0.19679730299199327
41,G111-e003Coalescence-mBHI-p5_S32,0.362,0.359,0.365,0.362
42,G111-e003Coalescence-mBHI-p7_S128,0.22199999999999998,0.21699999999999997,0.22599999999999998,0.22199999999999998
43,G111-e003Coalescence-mGAM-p3_S180,0.11414266736847382,0.09770486266823902,0.1339202591906903,0.11427066877303844
44,G111-e003Coalescence-mGAM-p5_S80,0.1238767650834403,0.10298594028748144,0.148700861720888,0.12380204241948153
45,H10-e003Coalescence-mBHI-p1_S831,0.806,0.804,0.81,0.806
46,H10-e003Coalescence-mGAM-p1_S835,0.13471640258373996,0.12148281534836156,0.14933743901421764,0.1350006379992344
47,H100-e003Coalescence-mBHI-p5_S43,0.43799999999999994,0.433,0.44,0.43799999999999994
48,H100-e003Coalescence-mBHI-p7_S139,0.291,0.288,0.294,0.291
