,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,9794,16175
A4-e003Coalescence-mBHI-p1_S732,9767,15979
A4-e003Coalescence-mBHI-p3,4695,7295
A4-e003Coalescence-mBHI-p5,9675,16023
A4-e003Coalescence-mBHI-p7,9459,15645
A4-e003Coalescence-mGAM-p1_S736,9791,16166
A4-e003Coalescence-mGAM-p5,9737,16110
C2-e003Coalescence-mBHI-inoculumn-redo,9791,16127
C2-e003Coalescence-mBHI-p1_S718,9362,14733
C2-e003Coalescence-mBHI-p3,9163,14256
C2-e003Coalescence-mBHI-p5,6179,10201
C2-e003Coalescence-mGAM-p1_S722,9794,16158
C2-e003Coalescence-mGAM-p3,9789,16147
C2-e003Coalescence-mGAM-p5,9790,16129
C2-e003Coalescence-mGAM-p7,9790,16135
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,9785,16084
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,9795,16177
E4-e003Coalescence-mBHI-p1_S796,9442,14851
E4-e003Coalescence-mBHI-p5_S3,9722,16076
E4-e003Coalescence-mBHI-p7_S99,9714,16075
E4-e003Coalescence-mGAM-p1_S800,9769,15970
E4-e003Coalescence-mGAM-p3_S59,9788,16132
E4-e003Coalescence-mGAM-p5_S51,9770,15880
E4-e003Coalescence-mGAM-p7_S147,9792,16143
G2-e003Coalescence-mBHI-p1_S782,9722,15581
G2-e003Coalescence-mBHI-p3_S33,6461,10146
G2-e003Coalescence-mBHI-p5_S25,9271,15394
G2-e003Coalescence-mBHI-p7_S121,3082,5570
G2-e003Coalescence-mGAM-p1_S786,9783,16114
G2-e003Coalescence-mGAM-p3_S81,9792,16179
G2-e003Coalescence-mGAM-p5_S73,9770,15891
