,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,7479,3046
A5-e003Coalescence-mBHI-inoculumn-redo,7561,3109
A5-e003Coalescence-mBHI-p1_S740,7542,3071
A5-e003Coalescence-mBHI-p3,4408,1668
A5-e003Coalescence-mBHI-p7,7477,3022
A5-e003Coalescence-mGAM-p1_S744,7513,3054
A5-e003Coalescence-mGAM-p3,7515,3085
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,7560,3100
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,7527,3044
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,7563,3108
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,7555,3066
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,7547,3102
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,7552,3088
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,7564,3107
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,7564,3114
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,7557,3075
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,7274,2876
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,7563,3113
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,6654,2677
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,7563,3113
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,7527,3103
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,7558,3089
Coalescence-C8-A5-AA-AF-mBHI-mGAM-5_S651,2738,1060
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,7543,3089
D2-e003Coalescence-Inoculumn-mBHI,7561,3102
D2-e003Coalescence-mBHI-p1_S719,7511,3045
D2-e003Coalescence-mBHI-p3,7542,3073
D2-e003Coalescence-mBHI-p5,7337,2967
D2-e003Coalescence-mGAM-p1_S723,7552,3095
D2-e003Coalescence-mGAM-p5,7565,3114
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,7564,3114
D_D1_D2_AA_AF_mBHI_mBHI_6_S325,2580,905
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,7565,3114
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,7558,3108
E5-e003Coalescence-mBHI-p1_S804,7517,3078
E5-e003Coalescence-mBHI-p3_S12,7519,3018
E5-e003Coalescence-mBHI-p5_S4,7434,3005
E5-e003Coalescence-mBHI-p7_S100,7514,3060
E5-e003Coalescence-mGAM-p1_S808,7513,3081
E5-e003Coalescence-mGAM-p3_S60,7480,3066
E5-e003Coalescence-mGAM-p5_S52,7542,3099
E5-e003Coalescence-mGAM-p7_S148,7560,3108
H2-e003Coalescence-mBHI-p1_S783,7513,3063
H2-e003Coalescence-mBHI-p3_S45,7530,3067
H2-e003Coalescence-mBHI-p7_S133,7443,3009
H2-e003Coalescence-mGAM-p1_S787,7553,3107
H2-e003Coalescence-mGAM-p3_S93,7531,3110
H2-e003Coalescence-mGAM-p5_S85,7373,2954
H2-e003Coalescence-mGAM-p7_S181,7565,3109
