,sample,boot_med,boot_low,boot_high,actual_med
0,B11-e003Coalescence-mBHI-p1_S773,0.37,0.364,0.375,0.368
1,B11-e003Coalescence-mBHI-p3,0.0036982795324712707,0.0035701564427229287,0.0038185695571520267,0.003748010337182951
2,B11-e003Coalescence-mGAM-p3,0.938,0.937,0.938,0.938
3,B11-e003Coalescence-mGAM-p7,0.926,0.925,0.927,0.926
4,B5-e003Coalescence-Inoculumn-mGAM,0.776,0.775,0.777,0.776
5,Coalescence-C11-B11-ACPP-AF-mGAM-mBHI-5_S654,0.00057833401875687,0.0005465974596027571,0.0006128425533513745,0.0006117626280814447
6,Coalescence-C12-B11-ACPP-AF-mGAM-mGAM-5_S655,0.942,0.941,0.942,0.942
7,D3-e003Coalescence-Inoculumn-mGAM,0.754,0.752,0.755,0.754
8,D9-e003Coalescence-mBHI-p1_S759,0.375,0.37,0.375,0.375
9,D9-e003Coalescence-mBHI-p3,0.0035686722633398093,0.003311159520557211,0.0038547970264057583,0.03255776265221166
10,D9-e003Coalescence-mBHI-p5,0.0019676216769891237,0.0018564585935462086,0.002074397223750607,0.002139836505740823
11,D9-e003Coalescence-mBHI-p7,0.0001720262983642315,0.00014055393664551125,0.00020353038834533232,0.0002831168017842595
12,D9-e003Coalescence-mGAM-p1_S763,0.701,0.699,0.703,0.701
13,D9-e003Coalescence-mGAM-p3,0.941,0.94,0.942,0.941
14,D9-e003Coalescence-mGAM-p5,0.934,0.934,0.935,0.934
15,D9-e003Coalescence-mGAM-p7,0.951,0.95,0.951,0.951
16,F11-e003Coalescence-mBHI-p1_S837,0.412,0.40900000000000003,0.417,0.412
17,F11-e003Coalescence-mGAM-p1_S841,0.6970000000000001,0.696,0.7,0.6970000000000001
18,F111-e003Coalescence-mBHI-p3_S120,0.006338006717936747,0.006148920023724479,0.006553189604355544,0.006618635358632024
19,F111-e003Coalescence-mBHI-p5_S20,8.718776817275234e-05,6.035023561161836e-05,0.00012410467061356003,0.002168522654467358
20,F111-e003Coalescence-mBHI-p7_S116,0.172,0.171,0.174,0.172
21,F111-e003Coalescence-mGAM-p3_S168,0.913,0.911,0.914,0.913
22,F111-e003Coalescence-mGAM-p5_S68,0.9923999891519436,0.9922276998876289,0.9925839715477245,0.9906512763133584
23,F111-e003Coalescence-mGAM-p7_S164,0.9922850075403101,0.9921086265277546,0.9924547643650179,0.9897381241623028
24,H9-e003Coalescence-mBHI-p1_S823,0.438,0.435,0.44,0.438
25,H9-e003Coalescence-mBHI-p5_S42,0.0033931175976764207,0.003279845975684088,0.0035294736113590077,0.0034956279923303857
26,H9-e003Coalescence-mBHI-p7_S138,0.0002681457507104736,0.00022633015452760627,0.0003159821546392271,0.0008697499637063923
27,H9-e003Coalescence-mGAM-p1_S827,0.695,0.693,0.697,0.695
28,H9-e003Coalescence-mGAM-p3_S190,0.9869924454862,0.9866826448553195,0.9872484439304609,0.9850055155271853
29,H9-e003Coalescence-mGAM-p5_S90,0.949,0.948,0.95,0.949
30,H9-e003Coalescence-mGAM-p7_S186,0.941,0.94,0.942,0.941
