,sample,boot_med,boot_low,boot_high,actual_med
0,A3-e003Coalescence-mBHI-inoculumn-redo,0.9393332598213522,0.9358530111442043,0.9427307360667702,0.9393905516379841
1,A3-e003Coalescence-mBHI-p1_S724,0.429,0.429,0.44399999999999995,0.429
2,A3-e003Coalescence-mBHI-p3,0.013934334183078758,0.013060450941951844,0.014919230350041458,0.013951538040217894
3,A3-e003Coalescence-mGAM-p1_S728,0.006712646193559993,0.006389173232764865,0.007053237488085848,0.00671728839582825
4,A3-e003Coalescence-mGAM-p7,1.0556779791251145e-05,5.862208268887703e-06,1.584328843960574e-05,1.0556779791251145e-05
5,A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,0.010331001570448235,0.008725668668513924,0.011835641419242454,0.010331001570448235
6,A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,0.004636516868608321,0.004460884340279078,0.004802173199590339,0.004639620231300155
7,A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,0.0015047723315431201,0.0013523331371209067,0.0016782136528255304,0.0015098632554503214
8,B2-e003Coalescence-Inoculumn-mBHI,0.737,0.733,0.75,0.737
9,B2-e003Coalescence-mBHI-p1_S717,0.438,0.429,0.444,0.438
10,B2-e003Coalescence-mBHI-p3,0.027492449823399077,0.026477198676494253,0.028610921837685224,0.027492449823399077
11,B2-e003Coalescence-mBHI-p5,0.002692905280877592,0.0021944693087838866,0.0032209256688514594,0.002692905280877592
12,B2-e003Coalescence-mGAM-p3,0.0043666546020991025,0.00404591357689089,0.004710175441987982,0.004373644041066061
13,B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,0.021265227600280417,0.020396310370427016,0.02217889411000368,0.02127643647773434
14,B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,0.003258057705468114,0.00315553855945941,0.003374164258082838,0.003260356291868492
15,Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,2.1332395428121188e-05,1.5018504075591275e-05,2.7655669031067463e-05,2.1332395428121188e-05
16,Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,0.0007704173964778556,0.00042756992835986515,0.0011139715849476418,0.0007704173964778556
17,Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,0.018,0.018,0.019,0.018
18,Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,0.01,0.01,0.01,0.01
19,Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,0.00389862935827183,0.003745568037472414,0.004053709969865551,0.00389862935827183
20,E3-e003Coalescence-mBHI-p1_S788,0.429,0.429,0.42900000000000005,0.429
21,E3-e003Coalescence-mBHI-p3_S10,0.04569836499168804,0.04389840011314368,0.04748831263129621,0.04565613526133072
22,E3-e003Coalescence-mBHI-p5_S2,0.000718022861866645,0.0005538088415124166,0.0009205033157573658,0.000718022861866645
23,E3-e003Coalescence-mGAM-p1_S792,0.005611432521624535,0.005296760887149105,0.005961436767198573,0.00560598696627905
24,E3-e003Coalescence-mGAM-p3_S58,0.00321216490158033,0.0028791231062923477,0.0035644209301516037,0.00321216490158033
25,E3-e003Coalescence-mGAM-p5_S50,0.00405004024872157,0.0038752946455071447,0.004255898498891264,0.00406333969561626
26,E3-e003Coalescence-mGAM-p7_S146,0.00020806578304823702,0.00016912242079372206,0.0002406010413187375,0.00020806578304823702
27,F2-e003Coalescence-mBHI-p1_S781,0.444,0.42900000000000005,0.5,0.444
28,F2-e003Coalescence-mBHI-p3_S21,0.025549797252377066,0.024244724033500604,0.02693212766993815,0.025549797252377066
29,F2-e003Coalescence-mBHI-p5_S13,0.0022635197021045597,0.002035934070659367,0.0025040493301220364,0.002257521261691874
30,F2-e003Coalescence-mGAM-p1_S785,0.006834604302793164,0.006548982814491639,0.007143724836794582,0.006834604302793164
31,F2-e003Coalescence-mGAM-p3_S69,0.00024044555277933356,0.00017474899471249533,0.00031171925430673665,0.00024044555277933356
32,F2-e003Coalescence-mGAM-p5_S61,0.0016509338518428882,0.0015303106786490946,0.0017797428182630812,0.0016509338518428882
33,F2-e003Coalescence-mGAM-p7_S157,0.0006886092370054968,0.0006047989618241446,0.0007846431531634963,0.0006886092370054968
