,sample,boot_med,boot_low,boot_high,actual_med
0,A10-e003Coalescence-mBHI-p1_S764,0.913,0.912,0.913,0.913
1,A10-e003Coalescence-mBHI-p5,0.9816033179972269,0.9807703614494285,0.9824952302270825,0.9815848214285714
2,A10-e003Coalescence-mBHI-p7,0.9826371359081787,0.9819605635025089,0.9833017668376292,0.9826252085329926
3,A10-e003Coalescence-mGAM-p1_S768,0.969,0.969,0.97,0.969
4,A10-e003Coalescence-mGAM-p3,0.997,0.997,0.997,0.997
5,A10-e003Coalescence-mGAM-p7,0.9995423790155694,0.9995194381107324,0.999564238491507,0.9995417193426043
6,A4-e003Coalescence-Inoculumn-mGAM,0.63,0.63,0.631,0.63
7,A_C5_C8_AA_AE_mGAM_mBHI_2_S29,0.9410000000000001,0.9410000000000001,0.944,0.9410000000000001
8,A_G5_C8_AA_AE_mGAM_mGAM_2_S77,0.994,0.994,0.994,0.994
9,B_A11_A10_AE_AA_mGAM_mBHI_4_S107,0.955,0.955,0.957,0.955
10,B_A7_E10_AE_AA_mGAM_mBHI_2_S103,0.889,0.889,0.893,0.889
11,B_C9_C8_AA_AE_mGAM_mBHI_4_S129,0.9828896445996445,0.9821109043362267,0.9837165471484403,0.9829071066990993
12,B_E11_A10_AE_AA_mGAM_mGAM_4_S155,0.9962975105668219,0.9961680442622207,0.9964339225156966,0.9963025262023965
13,B_E7_E10_AE_AA_mGAM_mGAM_2_S151,0.993,0.993,0.993,0.993
14,B_G5_G8_AA_AE_mGAM_mGAM_2_S173,0.9971737010177001,0.9970612140229942,0.9972806430553611,0.9971740193083222
15,B_G9_C8_AA_AE_mGAM_mGAM_4_S177,0.9997279834679669,0.9997080720196224,0.9997468865658706,0.9997277297558851
16,C2-e003Coalescence-Inoculumn-mGAM,0.624,0.623,0.625,0.624
17,C8-e003Coalescence-mBHI-p1_S750,0.923,0.923,0.929,0.923
18,C8-e003Coalescence-mBHI-p5,0.9848923124027809,0.9844544156719857,0.9853431958151132,0.9848925910997657
19,C8-e003Coalescence-mBHI-p7,0.992062881468944,0.991600533356959,0.9925476085503833,0.9920703205259914
20,C8-e003Coalescence-mGAM-p1_S754,0.969,0.969,0.97,0.969
21,C8-e003Coalescence-mGAM-p7,0.9997700296789067,0.9997576603530302,0.9997809668936176,0.9997701008142074
22,C_A7_A10_AE_AA_mGAM_mBHI_6_S199,0.9833668599132949,0.9827049188045478,0.9840218689052215,0.9833761495215756
23,C_C5_C8_AA_AE_mGAM_mBHI_6_S221,0.9874081909623904,0.9870288349198507,0.9877540829776869,0.9874073204609034
24,C_E7_A10_AE_AA_mGAM_mGAM_6_S247,0.985,0.985,0.986,0.985
25,C_G5_C8_AA_AE_mGAM_mGAM_6_S269,0.999216971489862,0.9991682153754047,0.999264916552838,0.999217150257826
26,Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,0.9994162810506524,0.9993994843902169,0.9994358349901848,0.9994169787033745
27,Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,0.9994361782546244,0.9994122262209503,0.9994576455543306,0.9994358696499648
28,Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,0.976,0.976,0.976,0.976
