,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mGAM-p1_S769,319,4645
B10-e003Coalescence-mGAM-p3,849,11239
B4-e003Coalescence-Inoculumn-mGAM,841,10947
C3-e003Coalescence-Inoculumn-mGAM,738,9804
C9-e003Coalescence-mGAM-p1_S762,615,8567
C9-e003Coalescence-mGAM-p3,860,11230
C9-e003Coalescence-mGAM-p5,852,11147
C9-e003Coalescence-mGAM-p7,845,11247
Coalescence-C10-B10-ACPP-AE-mGAM-mGAM-5_S653,870,11394
F10-e003Coalescence-mGAM-p1_S833,418,6091
F100-e003Coalescence-mGAM-p3_S167,829,10786
G9-e003Coalescence-mGAM-p1_S826,647,8933
G9-e003Coalescence-mGAM-p3_S178,872,11377
G9-e003Coalescence-mGAM-p5_S78,693,9157
G9-e003Coalescence-mGAM-p7_S174,861,11316
