,0
A_A1_A2_AA_AA_mBHI_mBHI_2_S1,568.0
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,77.0
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,146.0
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,191.0
A_A5_A8_AA_AA_mGAM_mBHI_2_S5,277.0
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,309.0
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,471.0
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,392.0
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,1117.0
A_C2_C3_ACPP_AE_mBHI_mBHI_2_S26,72.0
A_C3_C4_AE_AE_mBHI_mBHI_2_S27,212.0
A_C4_C5_AF_AE_mBHI_mBHI_2_S28,271.0
A_C5_C8_AA_AE_mGAM_mBHI_2_S29,192.0
A_C8_C11_AF_AE_mGAM_mBHI_2_S32,223.0
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,1233.0
A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,282.0
A_C11_C4_AE_AE_mBHI_mBHI_4_S35,1025.0
A_C12_C5_AF_AE_mBHI_mBHI_4_S36,244.0
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,409.0
A_D2_D3_ACPP_AF_mBHI_mBHI_2_S38,40.0
A_D3_D4_AE_AF_mBHI_mBHI_2_S39,208.0
A_D4_D5_AF_AF_mBHI_mBHI_2_S40,399.0
A_D5_D8_AA_AF_mGAM_mBHI_2_S41,435.0
A_D8_D11_AF_AF_mGAM_mBHI_2_S44,784.0
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,518.0
A_D11_D4_AE_AF_mBHI_mBHI_4_S47,235.0
A_D12_D5_AF_AF_mBHI_mBHI_4_S48,104.0
A_E1_A2_AA_AA_mBHI_mGAM_2_S49,62.0
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,15.0
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,64.0
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,79.0
A_E5_A8_AA_AA_mGAM_mGAM_2_S53,70.0
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,115.0
A_E9_A2_AA_AA_mBHI_mGAM_4_S57,160.0
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,161.0
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,100.0
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,38.0
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,398.0
A_G2_C3_ACPP_AE_mBHI_mGAM_2_S74,20.0
A_G3_C4_AE_AE_mBHI_mGAM_2_S75,99.0
A_G4_C5_AF_AE_mBHI_mGAM_2_S76,57.0
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,183.0
A_G8_C11_AF_AE_mGAM_mGAM_2_S80,84.0
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,464.0
A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,31.0
A_G11_C4_AE_AE_mBHI_mGAM_4_S83,2.0
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,184.0
A_H2_D3_ACPP_AF_mBHI_mGAM_2_S86,3.0
A_H3_D4_AE_AF_mBHI_mGAM_2_S87,82.0
A_H4_D5_AF_AF_mBHI_mGAM_2_S88,123.0
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,87.0
A_H8_D11_AF_AF_mGAM_mGAM_2_S92,186.0
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,221.0
A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,60.0
A_H11_D4_AE_AF_mBHI_mGAM_4_S95,23.0
A_H12_D5_AF_AF_mBHI_mGAM_4_S96,48.0
B_A1_E2_AA_AA_mBHI_mBHI_2_S97,25.0
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,268.0
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,272.0
B_A5_E8_AA_AA_mGAM_mBHI_2_S101,179.0
B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,111.0
B_A7_E10_AE_AA_mGAM_mBHI_2_S103,394.0
B_A8_E11_AF_AA_mGAM_mBHI_2_S104,36.0
B_A9_A8_AA_AA_mGAM_mBHI_4_S105,199.0
B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,381.0
B_A11_A10_AE_AA_mGAM_mBHI_4_S107,424.0
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,393.0
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,1173.0
B_C3_G4_AE_AE_mBHI_mBHI_2_S123,55.0
B_C4_G5_AF_AE_mBHI_mBHI_2_S124,63.0
B_C5_G8_AA_AE_mGAM_mBHI_2_S125,97.0
B_C6_G9_ACPP_AE_mGAM_mBHI_2_S126,18.0
B_C7_G10_AE_AE_mGAM_mBHI_2_S127,305.0
B_C8_G11_AF_AE_mGAM_mBHI_2_S128,28.0
B_C9_C8_AA_AE_mGAM_mBHI_4_S129,128.0
B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,199.0
B_C11_C10_AE_AE_mGAM_mBHI_4_S131,230.0
B_C12_C11_AF_AE_mGAM_mBHI_4_S132,187.0
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,55.0
B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,216.0
B_D3_H4_AE_AF_mBHI_mBHI_2_S135,76.0
B_D4_H5_AF_AF_mBHI_mBHI_2_S136,195.0
B_D5_H8_AA_AF_mGAM_mBHI_2_S137,41.0
B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,29.0
B_D7_H10_AE_AF_mGAM_mBHI_2_S139,553.0
B_D8_H11_AF_AF_mGAM_mBHI_2_S140,103.0
B_D9_D8_AA_AF_mGAM_mBHI_4_S141,24.0
B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,129.0
B_D11_D10_AE_AF_mGAM_mBHI_4_S143,199.0
B_D12_D11_AF_AF_mGAM_mBHI_4_S144,40.0
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,84.0
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,41.0
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,119.0
B_E5_E8_AA_AA_mGAM_mGAM_2_S149,41.0
B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,57.0
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,156.0
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,134.0
B_E9_A8_AA_AA_mGAM_mGAM_4_S153,17.0
B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,83.0
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,48.0
B_E12_A11_AF_AA_mGAM_mGAM_4_S156,55.0
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,330.0
B_G3_G4_AE_AE_mBHI_mGAM_2_S171,18.0
B_G4_G5_AF_AE_mBHI_mGAM_2_S172,23.0
B_G5_G8_AA_AE_mGAM_mGAM_2_S173,10.0
B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,19.0
B_G7_G10_AE_AE_mGAM_mGAM_2_S175,179.0
B_G8_G11_AF_AE_mGAM_mGAM_2_S176,46.0
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,44.0
B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,64.0
B_G11_C10_AE_AE_mGAM_mGAM_4_S179,101.0
B_G12_C11_AF_AE_mGAM_mGAM_4_S180,14.0
B_H2_H3_ACPP_AF_mBHI_mGAM_2_S182,237.0
B_H3_H4_AE_AF_mBHI_mGAM_2_S183,15.0
B_H4_H5_AF_AF_mBHI_mGAM_2_S184,110.0
B_H5_H8_AA_AF_mGAM_mGAM_2_S185,269.0
B_H6_H9_ACPP_AF_mGAM_mGAM_2_S186,59.0
B_H7_H10_AE_AF_mGAM_mGAM_2_S187,81.0
B_H8_H11_AF_AF_mGAM_mGAM_2_S188,66.0
B_H9_D8_AA_AF_mGAM_mGAM_4_S189,48.0
B_H10_D9_ACPP_AF_mGAM_mGAM_4_S190,18.0
B_H11_D10_AE_AF_mGAM_mGAM_4_S191,9.0
B_H12_D11_AF_AF_mGAM_mGAM_4_S192,4.0
C_A1_A2_AA_AA_mBHI_mBHI_6_S193,68.0
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,60.0
C_A4_A5_AF_AA_mBHI_mBHI_6_S196,10.0
C_A5_A8_AA_AA_mGAM_mBHI_6_S197,175.0
C_A7_A10_AE_AA_mGAM_mBHI_6_S199,164.0
C_A9_E2_AA_AA_mBHI_mBHI_4_S201,635.0
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,592.0
C_C1_C2_AA_AE_mBHI_mBHI_6_S217,91.0
C_C3_C4_AE_AE_mBHI_mBHI_6_S219,491.0
