,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p1_S772,9483,9537
A11-e003Coalescence-mBHI-p3,9490,9535
A11-e003Coalescence-mBHI-p5,9468,9500
A11-e003Coalescence-mBHI-p7,9410,9384
A11-e003Coalescence-mGAM-p1_S776,9265,9283
A11-e003Coalescence-mGAM-p3,9458,9465
A11-e003Coalescence-mGAM-p7,9353,9291
A5-e003Coalescence-Inoculumn-mGAM,9451,9524
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,9492,9538
A_D5_D8_AA_AF_mGAM_mBHI_2_S41,9496,9546
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,9469,9501
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,9425,9421
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,9481,9545
B_A8_E11_AF_AA_mGAM_mBHI_2_S104,9407,9334
B_D5_H8_AA_AF_mGAM_mBHI_2_S137,9399,9391
B_D9_D8_AA_AF_mGAM_mBHI_4_S141,9317,9219
B_E12_A11_AF_AA_mGAM_mGAM_4_S156,9428,9423
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,9477,9492
B_H5_H8_AA_AF_mGAM_mGAM_2_S185,9493,9531
B_H9_D8_AA_AF_mGAM_mGAM_4_S189,9393,9327
C_D5_D8_AA_AF_mGAM_mBHI_6_S233,9483,9524
C_E8_A11_AF_AA_mGAM_mGAM_6_S248,9462,9498
C_H5_D8_AA_AF_mGAM_mGAM_6_S281,9196,9063
Coalescence-B5-D8-AA-AF-mGAM-mGAM-7_S636,9460,9432
Coalescence-B6-E11-AA-AF-mGAM-mGAM-7_S637,9427,9386
Coalescence-C3-A11-AA-AF-mGAM-mGAM-5_S646,9436,9419
Coalescence-F1-D8-AA-AF-mGAM-mGAM-3_S680,9432,9385
Coalescence-F10-H8-AA-AF-mGAM-mGAM-3_S689,9475,9488
Coalescence-F3-E11-AA-AF-mGAM-mGAM-3_S682,9473,9501
D2-e003Coalescence-Inoculumn-mGAM,9408,9488
D8-e003Coalescence-mBHI-p1_S751,9437,9446
D8-e003Coalescence-mBHI-p5,9482,9503
D8-e003Coalescence-mGAM-p1_S755,9464,9518
D8-e003Coalescence-mGAM-p5,9443,9437
D_A12_E11_AF_AA_mGAM_mBHI_4_S300,9488,9536
D_A8_A11_AF_AA_mGAM_mBHI_6_S296,9496,9542
D_D5_D8_AA_AF_mGAM_mBHI_6_S329,9482,9498
D_D9_H8_AA_AF_mGAM_mBHI_4_S333,9223,9164
D_E12_E11_AF_AA_mGAM_mGAM_4_S348,9465,9493
D_E8_A11_AF_AA_mGAM_mGAM_6_S344,9475,9477
D_H5_D8_AA_AF_mGAM_mGAM_6_S377,9483,9517
D_H9_H8_AA_AF_mGAM_mGAM_4_S381,9278,9264
E11-e003Coalescence-mBHI-p1_S836,9492,9539
E11-e003Coalescence-mGAM-p1_S840,9485,9531
E111-e003Coalescence-mBHI-p3_S108,9311,9202
E111-e003Coalescence-mBHI-p5_S8,9473,9453
E111-e003Coalescence-mBHI-p7_S104,9429,9445
E111-e003Coalescence-mGAM-p5_S56,9366,9277
H8-e003Coalescence-mBHI-p1_S815,9487,9541
H8-e003Coalescence-mBHI-p5_S41,9477,9488
H8-e003Coalescence-mBHI-p7_S137,9468,9473
H8-e003Coalescence-mGAM-p1_S819,9468,9515
H8-e003Coalescence-mGAM-p5_S89,9410,9371
H8-e003Coalescence-mGAM-p7_S185,9470,9486
