,sample,boot_med,boot_low,boot_high,actual_med
0,A11-e003Coalescence-mBHI-p1_S772,0.838,0.837,0.839,0.838
1,A11-e003Coalescence-mBHI-p3,0.955,0.955,0.956,0.955
2,A11-e003Coalescence-mBHI-p5,0.02508758783137445,0.023303174590833368,0.985,0.025
3,A11-e003Coalescence-mBHI-p7,0.04336528266086277,0.034783143375256155,0.05488801082466065,0.04354904354904355
4,A11-e003Coalescence-mGAM-p1_S776,0.833,0.833,0.838,0.833
5,A11-e003Coalescence-mGAM-p3,0.0324435141816993,0.029972603816029973,0.03507050411844943,0.0324235385210995
6,A11-e003Coalescence-mGAM-p7,0.9902852099193453,0.9894911344125857,0.9911602635261596,0.9902844127023909
7,A5-e003Coalescence-Inoculumn-mGAM,0.402,0.4,0.404,0.402
8,A_A8_A11_AF_AA_mGAM_mBHI_2_S8,0.913,0.912,0.913,0.913
9,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,0.923,0.922,0.923,0.923
10,A_E8_A11_AF_AA_mGAM_mGAM_2_S56,0.94,0.939,0.94,0.94
11,A_H5_D8_AA_AF_mGAM_mGAM_2_S89,0.94,0.94,0.9410000000000001,0.94
12,B_A12_A11_AF_AA_mGAM_mBHI_4_S108,0.961,0.96,0.961,0.961
13,B_A8_E11_AF_AA_mGAM_mBHI_2_S104,0.907,0.906,0.909,0.907
14,B_D5_H8_AA_AF_mGAM_mBHI_2_S137,0.9359999999999999,0.934,0.938,0.9359999999999999
15,B_D9_D8_AA_AF_mGAM_mBHI_4_S141,0.04887024660416473,0.038593117408906884,0.06172870745239166,0.04915730337078652
16,B_E12_A11_AF_AA_mGAM_mGAM_4_S156,0.026737061369167023,0.02344852836097998,0.03038082813033889,0.02675813289588615
17,B_E8_E11_AF_AA_mGAM_mGAM_2_S152,0.966,0.965,0.966,0.966
18,B_H5_H8_AA_AF_mGAM_mGAM_2_S185,0.961,0.96,0.961,0.961
19,B_H9_D8_AA_AF_mGAM_mGAM_4_S189,0.036422072240284944,0.032148632531285595,0.040501122718728785,0.03631712482439035
20,C_D5_D8_AA_AF_mGAM_mBHI_6_S233,0.994,0.994,0.994,0.994
21,C_E8_A11_AF_AA_mGAM_mGAM_6_S248,0.979,0.978,0.98,0.979
22,C_H5_D8_AA_AF_mGAM_mGAM_6_S281,0.08094689794351793,0.06073906485671192,0.9899813236471223,0.08083441981747067
23,Coalescence-B5-D8-AA-AF-mGAM-mGAM-7_S636,0.018784393572529166,0.015407999486389316,0.02312688103912561,0.01872207644847883
24,Coalescence-B6-E11-AA-AF-mGAM-mGAM-7_S637,0.016047085108822114,0.012014703719454045,0.02128732013023312,0.015956284153005464
25,Coalescence-C3-A11-AA-AF-mGAM-mGAM-5_S646,0.01940330240096088,0.01630912109457198,0.022834077636551015,0.01943500424808836
26,Coalescence-F1-D8-AA-AF-mGAM-mGAM-3_S680,0.04393268696808614,0.04040368796125949,0.047724813874411444,0.043983957219251336
27,Coalescence-F10-H8-AA-AF-mGAM-mGAM-3_S689,0.976,0.976,0.977,0.976
28,Coalescence-F3-E11-AA-AF-mGAM-mGAM-3_S682,0.981,0.981,0.982,0.981
29,D2-e003Coalescence-Inoculumn-mGAM,0.4,0.398,0.403,0.4
30,D8-e003Coalescence-mBHI-p1_S751,0.852,0.851,0.854,0.852
31,D8-e003Coalescence-mBHI-p5,0.011432633080694893,0.01049580488619654,0.012437410817695628,0.011441438271822117
32,D8-e003Coalescence-mGAM-p1_S755,0.839,0.838,0.84,0.839
33,D8-e003Coalescence-mGAM-p5,0.03049779458097038,0.024232802986123795,0.03698217855358035,0.030388031790556335
34,D_A12_E11_AF_AA_mGAM_mBHI_4_S300,0.972,0.972,0.973,0.972
35,D_A8_A11_AF_AA_mGAM_mBHI_6_S296,0.989,0.989,0.989,0.989
36,D_D5_D8_AA_AF_mGAM_mBHI_6_S329,0.009832938557016113,0.009139931781318576,0.010552683159381812,0.009818456211993431
37,D_D9_H8_AA_AF_mGAM_mBHI_4_S333,0.9879615585895348,0.9868551523411109,0.9893167513562051,0.9879611553051751
38,D_E12_E11_AF_AA_mGAM_mGAM_4_S348,0.01369382999386371,0.012541211816162525,0.01516592853273266,0.013710527948383896
39,D_E8_A11_AF_AA_mGAM_mGAM_6_S344,0.008017492711370262,0.00639073572584801,0.009876448387013384,0.00801209372637944
40,D_H5_D8_AA_AF_mGAM_mGAM_6_S377,0.005586935188053124,0.004962453586676504,0.006223080274696848,0.005587934867511867
41,D_H9_H8_AA_AF_mGAM_mGAM_4_S381,0.05337690631808279,0.038600234555290734,0.07049360298131928,0.053606237816764137
42,E11-e003Coalescence-mBHI-p1_S836,0.8200000000000001,0.82,0.821,0.8200000000000001
43,E11-e003Coalescence-mGAM-p1_S840,0.827,0.8260000000000001,0.829,0.827
44,E111-e003Coalescence-mBHI-p3_S108,0.954,0.954,0.955,0.954
45,E111-e003Coalescence-mBHI-p5_S8,0.984,0.984,0.985,0.984
46,E111-e003Coalescence-mBHI-p7_S104,0.952,0.952,0.953,0.952
47,E111-e003Coalescence-mGAM-p5_S56,0.991977740784479,0.03193948412698413,0.9925208288549086,0.991977740784479
48,H8-e003Coalescence-mBHI-p1_S815,0.839,0.838,0.84,0.839
49,H8-e003Coalescence-mBHI-p5_S41,0.010037730194475191,0.009329065213190178,0.010765400313563748,0.010035329744279946
50,H8-e003Coalescence-mBHI-p7_S137,0.988,0.988,0.989,0.988
51,H8-e003Coalescence-mGAM-p1_S819,0.845,0.844,0.846,0.845
52,H8-e003Coalescence-mGAM-p5_S89,0.025,0.01856896551724138,0.03270385418292493,0.025139664804469275
53,H8-e003Coalescence-mGAM-p7_S185,0.009644219364925332,0.007693508982085227,0.011920233930163955,0.009669479606188467
