,sample,boot_med,boot_low,boot_high,actual_med
0,B4-e003Coalescence-Inoculumn-mBHI,0.44499999999999995,0.431,0.5,0.44499999999999995
1,B4-e003Coalescence-mBHI-p1_S733,0.261,0.2485,0.285,0.261
2,B4-e003Coalescence-mBHI-p3,0.3545,0.31,0.3805,0.3545
3,B4-e003Coalescence-mBHI-p5,0.051586600700518626,0.0261381299045868,0.25,0.07168343876859262
4,B4-e003Coalescence-mGAM-p1_S737,0.23049999999999998,0.20999999999999996,0.28049999999999997,0.23399999999999999
5,B4-e003Coalescence-mGAM-p5,0.41800000000000004,0.375,0.4625,0.41800000000000004
6,C3-e003Coalescence-mBHI-inoculumn-redo,0.48,0.4515,0.516,0.48
7,C3-e003Coalescence-mBHI-p1_S726,0.279,0.25,0.32399999999999995,0.279
8,C3-e003Coalescence-mBHI-p5,0.6645000000000001,0.635,0.681,0.6645000000000001
9,C3-e003Coalescence-mBHI-p7,0.59,0.556,0.6280249999999999,0.59
10,C3-e003Coalescence-mGAM-p1_S730,0.267,0.2125,0.333,0.267
11,C3-e003Coalescence-mGAM-p3,0.555,0.524,0.576525,0.555
12,C3-e003Coalescence-mGAM-p5,0.4265,0.4065,0.49,0.4265
13,C3-e003Coalescence-mGAM-p7,0.0865,0.074,0.09499999999999997,0.0865
14,Coalescence-B9-G3-ACPP-AE-mBHI-mGAM-7_S640,0.424,0.372,0.43799999999999994,0.424
15,Coalescence-D12-B4-ACPP-AE-mBHI-mGAM-3_S667,0.5245,0.5,0.547575,0.5245
16,Coalescence-E4-C3-ACPP-AE-mBHI-mBHI-3_S671,0.424,0.4069375,0.4395,0.424
17,Coalescence-F6-G3-ACPP-AE-mBHI-mBHI-3_S685,0.3475,0.3424875,0.355,0.3475
18,F4-e003Coalescence-mBHI-p1_S797,0.2845,0.262,0.33799999999999997,0.2845
19,F4-e003Coalescence-mBHI-p3_S23,0.32925,0.3045,0.3725,0.328
20,F4-e003Coalescence-mBHI-p5_S15,0.374,0.32099999999999995,0.403,0.374
21,F4-e003Coalescence-mBHI-p7_S111,0.3725,0.3369875,0.4,0.3725
22,F4-e003Coalescence-mGAM-p1_S801,0.2705,0.213,0.344,0.2705
23,F4-e003Coalescence-mGAM-p3_S71,0.535,0.517,0.584,0.535
24,F4-e003Coalescence-mGAM-p5_S63,0.595,0.5625,0.655,0.59
25,F4-e003Coalescence-mGAM-p7_S159,0.559,0.51,0.593,0.559
26,G3-e003Coalescence-mBHI-p1_S790,0.2675,0.2485,0.29100000000000004,0.2675
27,G3-e003Coalescence-mBHI-p3_S34,0.32299999999999995,0.268,0.3565,0.32299999999999995
28,G3-e003Coalescence-mBHI-p5_S26,0.33699999999999997,0.315,0.3655,0.33699999999999997
29,G3-e003Coalescence-mBHI-p7_S122,0.23149999999999998,0.211,0.258,0.23149999999999998
30,G3-e003Coalescence-mGAM-p1_S794,0.273,0.2345,0.31100000000000005,0.273
31,G3-e003Coalescence-mGAM-p3_S82,0.6759999999999999,0.6759999999999999,0.6759999999999999,0.6759999999999999
32,G3-e003Coalescence-mGAM-p5_S74,0.703,0.691,0.7430125,0.703
