,sample,boot_med,boot_low,boot_high,actual_med
0,B10-e003Coalescence-mBHI-p1_S765,0.519,0.512,0.526,0.519
1,B10-e003Coalescence-mBHI-p3,0.424,0.41800000000000004,0.42900000000000005,0.424
2,B10-e003Coalescence-mBHI-p5,0.41800000000000004,0.413,0.425,0.41800000000000004
3,B10-e003Coalescence-mGAM-p1_S769,0.486,0.48048749999999996,0.5,0.486
4,B10-e003Coalescence-mGAM-p3,0.048,0.0459875,0.049000000000000044,0.048
5,B10-e003Coalescence-mGAM-p7,0.0,0.0,0.0,0.0
6,B4-e003Coalescence-Inoculumn-mGAM,0.5640000000000001,0.5609999999999999,0.568,0.5640000000000001
7,B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,0.42400000000000004,0.4205,0.42700000000000005,0.42400000000000004
8,B_C6_G9_ACPP_AE_mGAM_mBHI_2_S126,0.533,0.526,0.538,0.5329999999999999
9,B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,0.03300000000000003,0.033,0.03400000000000003,0.03300000000000003
10,B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,0.0,0.0,0.0,0.0
11,C3-e003Coalescence-Inoculumn-mGAM,0.6719999999999999,0.667,0.6759999999999999,0.6719999999999999
12,C9-e003Coalescence-mBHI-p1_S758,0.543,0.532,0.552,0.543
13,C9-e003Coalescence-mBHI-p3,0.41900000000000004,0.41598749999999995,0.424,0.4195
14,C9-e003Coalescence-mBHI-p5,0.422,0.419,0.427,0.422
15,C9-e003Coalescence-mBHI-p7,0.42200000000000004,0.41700000000000004,0.42900000000000005,0.42200000000000004
16,C9-e003Coalescence-mGAM-p1_S762,0.49,0.481,0.5,0.49
17,C9-e003Coalescence-mGAM-p3,0.049,0.04700000000000004,0.05,0.049
18,C9-e003Coalescence-mGAM-p5,0.0,0.0,0.0,0.0
19,C9-e003Coalescence-mGAM-p7,0.0,0.0,0.0,0.0
20,Coalescence-A4-B10-ACPP-AE-mGAM-mBHI-7_S623,0.41600000000000004,0.403,0.42651249999999996,0.41600000000000004
21,Coalescence-B10-G9-ACPP-AE-mGAM-mBHI-7_S641,0.446,0.442,0.453,0.446
22,Coalescence-C10-B10-ACPP-AE-mGAM-mGAM-5_S653,0.0,0.0,0.0,0.0
23,Coalescence-F5-F10-ACPP-AE-mGAM-mBHI-3_S684,0.381,0.377,0.385,0.381
24,F10-e003Coalescence-mBHI-p1_S829,0.529,0.52,0.5369999999999999,0.529
25,F10-e003Coalescence-mGAM-p1_S833,0.48,0.47398749999999995,0.488,0.48
26,F100-e003Coalescence-mBHI-p7_S115,0.36,0.351,0.369,0.36
27,F100-e003Coalescence-mGAM-p3_S167,0.0,0.0,0.0,0.0
28,F100-e003Coalescence-mGAM-p5_S67,0.0,0.0,0.0,0.0
29,F100-e003Coalescence-mGAM-p7_S163,0.0,0.0,0.0,0.0
30,G9-e003Coalescence-mBHI-p1_S822,0.5397500000000001,0.529,0.5485125,0.54
31,G9-e003Coalescence-mBHI-p3_S130,0.456,0.453,0.46,0.456
32,G9-e003Coalescence-mBHI-p5_S30,0.491,0.484,0.497,0.4905
33,G9-e003Coalescence-mGAM-p1_S826,0.5,0.492,0.507,0.5
34,G9-e003Coalescence-mGAM-p3_S178,0.043,0.04200000000000004,0.044,0.043
35,G9-e003Coalescence-mGAM-p5_S78,0.0,0.0,0.0,0.0
36,G9-e003Coalescence-mGAM-p7_S174,0.0,0.0,0.0,0.0
