,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,3406,7918
B5-e003Coalescence-mBHI-p1_S741,3404,7914
B5-e003Coalescence-mBHI-p3,3402,7914
B5-e003Coalescence-mBHI-p5,3403,7910
B5-e003Coalescence-mBHI-p7,3406,7923
B5-e003Coalescence-mGAM-p1_S745,3349,7799
B5-e003Coalescence-mGAM-p3,3257,7664
B5-e003Coalescence-mGAM-p5,3295,7607
B5-e003Coalescence-mGAM-p7,3180,7402
Coalescence-B4-D3-ACPP-AF-mBHI-mGAM-7_S635,3359,7770
Coalescence-E11-D3-ACPP-AF-mBHI-mBHI-3_S678,3407,7922
D3-e003Coalescence-Inoculumn-mBHI,3407,7922
D3-e003Coalescence-mBHI-p1_S727,3402,7905
D3-e003Coalescence-mBHI-p5,3403,7914
D3-e003Coalescence-mBHI-p7,3406,7922
D3-e003Coalescence-mGAM-p1_S731,3383,7866
D3-e003Coalescence-mGAM-p3,3370,7859
D3-e003Coalescence-mGAM-p5,3389,7868
F5-e003Coalescence-mBHI-p1_S805,3398,7901
F5-e003Coalescence-mBHI-p3_S24,3407,7917
F5-e003Coalescence-mBHI-p5_S16,3402,7911
F5-e003Coalescence-mBHI-p7_S112,3395,7911
F5-e003Coalescence-mGAM-p1_S809,3389,7869
F5-e003Coalescence-mGAM-p3_S72,3122,7222
F5-e003Coalescence-mGAM-p5_S64,3329,7730
F5-e003Coalescence-mGAM-p7_S160,3356,7768
H3-e003Coalescence-mBHI-p1_S791,3397,7900
H3-e003Coalescence-mBHI-p3_S46,3403,7911
H3-e003Coalescence-mBHI-p5_S38,3405,7912
H3-e003Coalescence-mBHI-p7_S134,3405,7914
H3-e003Coalescence-mGAM-p3_S94,3313,7659
H3-e003Coalescence-mGAM-p5_S86,3293,7634
H3-e003Coalescence-mGAM-p7_S182,3304,7722
