,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C5-e003Coalescence-mBHI-inoculumn-redo,12213,15432
C5-e003Coalescence-mBHI-p1_S742,12186,15409
C5-e003Coalescence-mBHI-p3,12189,15400
C5-e003Coalescence-mBHI-p5,12215,15433
C5-e003Coalescence-mBHI-p7,12184,15408
C5-e003Coalescence-mGAM-p1_S746,12091,15334
C5-e003Coalescence-mGAM-p3,12143,15265
C5-e003Coalescence-mGAM-p7,12041,15195
Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,11766,14779
D4-e003Coalescence-Inoculumn-mBHI,12207,15430
D4-e003Coalescence-mBHI-p1_S735,12207,15427
D4-e003Coalescence-mBHI-p3,12208,15421
D4-e003Coalescence-mBHI-p5,12205,15414
D4-e003Coalescence-mBHI-p7,12189,15399
D4-e003Coalescence-mGAM-p1_S739,12204,15416
D4-e003Coalescence-mGAM-p3,12078,15209
D4-e003Coalescence-mGAM-p5,12078,15205
D4-e003Coalescence-mGAM-p7,12154,15326
G5-e003Coalescence-mBHI-p1_S806,12174,15415
G5-e003Coalescence-mBHI-p3_S36,12205,15424
G5-e003Coalescence-mBHI-p5_S28,12215,15430
G5-e003Coalescence-mBHI-p7_S124,12213,15421
G5-e003Coalescence-mGAM-p1_S810,12032,15290
G5-e003Coalescence-mGAM-p3_S84,12078,15108
G5-e003Coalescence-mGAM-p5_S76,11806,14833
G5-e003Coalescence-mGAM-p7_S172,12159,15301
H4-e003Coalescence-mBHI-p1_S799,12205,15431
H4-e003Coalescence-mBHI-p3_S47,12150,15380
H4-e003Coalescence-mBHI-p5_S39,12212,15432
H4-e003Coalescence-mBHI-p7_S135,12214,15423
H4-e003Coalescence-mGAM-p1_S803,12149,15369
H4-e003Coalescence-mGAM-p3_S95,11966,15083
H4-e003Coalescence-mGAM-p5_S87,12108,15214
H4-e003Coalescence-mGAM-p7_S183,12174,15326
