,sample,boot_med,boot_low,boot_high,actual_med
0,A_C12_C5_AF_AE_mBHI_mBHI_4_S36,0.687,0.683,0.69,0.687
1,A_C4_C5_AF_AE_mBHI_mBHI_2_S28,0.42500000000000004,0.42100000000000004,0.42900000000000005,0.42500000000000004
2,A_D11_D4_AE_AF_mBHI_mBHI_4_S47,0.621,0.616,0.626,0.621
3,A_D3_D4_AE_AF_mBHI_mBHI_2_S39,0.511,0.507,0.516,0.511
4,A_G4_C5_AF_AE_mBHI_mGAM_2_S76,0.696,0.6910000000000001,0.7010000000000001,0.696
5,A_H11_D4_AE_AF_mBHI_mGAM_4_S95,0.852,0.847,0.857,0.852
6,A_H3_D4_AE_AF_mBHI_mGAM_2_S87,0.667,0.6579999999999999,0.6705125000000001,0.667
7,B_C4_G5_AF_AE_mBHI_mBHI_2_S124,0.46399999999999997,0.45899999999999996,0.469,0.46399999999999997
8,B_D3_H4_AE_AF_mBHI_mBHI_2_S135,0.5,0.496,0.507,0.5
9,B_G4_G5_AF_AE_mBHI_mGAM_2_S172,0.706,0.6970000000000001,0.7110000000000001,0.706
10,B_H3_H4_AE_AF_mBHI_mGAM_2_S183,0.5,0.485,0.5,0.5
11,C5-e003Coalescence-mBHI-inoculumn-redo,0.31899999999999995,0.31699999999999995,0.32099999999999995,0.31899999999999995
12,C5-e003Coalescence-mBHI-p1_S742,0.356,0.352,0.359,0.356
13,C5-e003Coalescence-mBHI-p3,0.581,0.5760000000000001,0.585,0.581
14,C5-e003Coalescence-mBHI-p5,0.772,0.77,0.775,0.772
15,C5-e003Coalescence-mBHI-p7,0.937,0.9359999999999999,0.938,0.937
16,C5-e003Coalescence-mGAM-p1_S746,0.33299999999999996,0.33299999999999996,0.333,0.33299999999999996
17,C5-e003Coalescence-mGAM-p3,0.943,0.94,0.944,0.943
18,C5-e003Coalescence-mGAM-p7,0.0988295154281222,0.08954161927085898,0.9745859563642227,0.09895144049679323
19,C_C12_G5_AF_AE_mBHI_mBHI_4_S228,0.644,0.639,0.648,0.644
20,C_C4_C5_AF_AE_mBHI_mBHI_6_S220,0.821,0.819,0.823,0.821
21,C_D11_H4_AE_AF_mBHI_mBHI_4_S239,0.605,0.602,0.608,0.605
22,C_D3_D4_AE_AF_mBHI_mBHI_6_S231,0.782,0.779,0.785,0.782
23,C_G12_G5_AF_AE_mBHI_mGAM_4_S276,0.08665105386416862,0.0627177700348432,0.9856954812617019,0.08571428571428572
24,C_G4_C5_AF_AE_mBHI_mGAM_6_S268,0.9702504333243915,0.9694264370237513,0.9711558882320707,0.9702585900056037
25,C_H11_H4_AE_AF_mBHI_mGAM_4_S287,0.958,0.956,0.96,0.958
26,C_H3_D4_AE_AF_mBHI_mGAM_6_S279,0.04817342432757928,0.03534647667382393,0.9915626234681442,0.048525569242254575
27,Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,0.9877259513474588,0.9869330805636637,0.9886531633892506,0.9877191354423059
28,D4-e003Coalescence-Inoculumn-mBHI,0.34099999999999997,0.338,0.34299999999999997,0.34099999999999997
29,D4-e003Coalescence-mBHI-p1_S735,0.359,0.355975,0.363,0.359
30,D4-e003Coalescence-mBHI-p3,0.598,0.594,0.603,0.598
31,D4-e003Coalescence-mBHI-p5,0.6930000000000001,0.6890000000000001,0.6970000000000001,0.6930000000000001
32,D4-e003Coalescence-mBHI-p7,0.8220000000000001,0.817,0.825,0.8220000000000001
33,D4-e003Coalescence-mGAM-p1_S739,0.331,0.32899999999999996,0.33499999999999996,0.33199999999999996
