,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,12373,12312
A4-e003Coalescence-mBHI-p1_S732,12360,12303
A4-e003Coalescence-mBHI-p3,12225,12091
A4-e003Coalescence-mBHI-p5,12343,12267
A4-e003Coalescence-mBHI-p7,12323,12236
A4-e003Coalescence-mGAM-p1_S736,12332,12259
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,12362,12302
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,12328,12244
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,12373,12318
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,12374,12316
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,12368,12298
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,12339,12254
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,12371,12306
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,12371,12310
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,12374,12316
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,12314,12198
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,12372,12313
C2-e003Coalescence-mBHI-inoculumn-redo,12360,12304
C2-e003Coalescence-mBHI-p1_S718,12181,12100
C2-e003Coalescence-mBHI-p3,12371,12309
C2-e003Coalescence-mBHI-p5,12340,12246
C2-e003Coalescence-mGAM-p1_S722,12344,12265
C2-e003Coalescence-mGAM-p3,12317,12245
C2-e003Coalescence-mGAM-p5,12348,12257
C2-e003Coalescence-mGAM-p7,12365,12305
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,12179,12043
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,11986,11781
C_C1_C2_AA_AE_mBHI_mBHI_6_S217,11967,11725
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,12350,12291
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,12343,12290
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,12315,12257
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,11930,11756
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,11853,11559
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,12371,12310
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,12369,12315
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,12305,12224
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,12360,12300
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,12370,12310
E4-e003Coalescence-mBHI-p1_S796,12069,12004
E4-e003Coalescence-mBHI-p3_S11,12300,12193
E4-e003Coalescence-mBHI-p5_S3,12313,12211
E4-e003Coalescence-mBHI-p7_S99,12177,11951
E4-e003Coalescence-mGAM-p1_S800,8444,8280
E4-e003Coalescence-mGAM-p3_S59,12319,12207
E4-e003Coalescence-mGAM-p5_S51,12244,12034
E4-e003Coalescence-mGAM-p7_S147,12341,12232
G2-e003Coalescence-mBHI-p1_S782,12348,12283
G2-e003Coalescence-mBHI-p3_S33,12341,12232
G2-e003Coalescence-mBHI-p5_S25,12321,12213
G2-e003Coalescence-mBHI-p7_S121,10352,9977
G2-e003Coalescence-mGAM-p1_S786,12057,11943
G2-e003Coalescence-mGAM-p3_S81,12320,12184
G2-e003Coalescence-mGAM-p5_S73,12282,12156
