,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mGAM-p1_S768,3050,1968
A10-e003Coalescence-mGAM-p3,3649,2553
A10-e003Coalescence-mGAM-p7,3557,2440
A4-e003Coalescence-Inoculumn-mGAM,3641,2551
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,3652,2538
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,3535,2428
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,3648,2544
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,3559,2443
C2-e003Coalescence-Inoculumn-mGAM,3559,2492
C8-e003Coalescence-mBHI-p5,3086,2157
C8-e003Coalescence-mGAM-p7,3635,2538
C_C5_C8_AA_AE_mGAM_mBHI_6_S221,3113,2210
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,3649,2547
C_G5_C8_AA_AE_mGAM_mGAM_6_S269,3321,2253
Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,3641,2513
Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,3593,2476
Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,3399,2546
Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,3654,2556
D_E11_E10_AE_AA_mGAM_mGAM_4_S347,3650,2530
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,3642,2526
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,3652,2542
D_G5_C8_AA_AE_mGAM_mGAM_6_S365,3610,2501
D_G9_G8_AA_AE_mGAM_mGAM_4_S369,3631,2511
E10-e003Coalescence-mGAM-p1_S832,1903,1235
E100-e003Coalescence-mGAM-p3_S155,3624,2503
E100-e003Coalescence-mGAM-p5_S55,3499,2356
E100-e003Coalescence-mGAM-p7_S151,3465,2325
G8-e003Coalescence-mGAM-p1_S818,2472,1607
G8-e003Coalescence-mGAM-p3_S177,3636,2495
G8-e003Coalescence-mGAM-p5_S77,3632,2512
G8-e003Coalescence-mGAM-p7_S173,3654,2546
