,sample,boot_med,boot_low,boot_high,actual_med,shifts_low,shifts_high,shifts_med
0,A10-e003Coalescence-mGAM-p1_S768,0.015652399706769966,0.013633521247715618,0.018251367818351245,0.014339513325608342,-0.004503400378499011,0.07638433479877657,0.06259397163120561
1,A10-e003Coalescence-mGAM-p3,0.001,0.001,0.001,0.001,0.0,0.0,0.0
2,A10-e003Coalescence-mGAM-p7,0.001,0.001,0.001,0.001,0.0,0.0,0.0
3,A4-e003Coalescence-Inoculumn-mGAM,0.45041322314049587,0.44547981501108,0.4540763673890609,0.433,0.02300000000000013,0.038999999999999924,0.030999999999999917
4,A_G5_C8_AA_AE_mGAM_mGAM_2_S77,0.001,0.001,0.001,0.001,0.0,0.0,0.0
5,B_E11_A10_AE_AA_mGAM_mGAM_4_S155,0.0010000119755343671,0.001,0.0010004615353624922,0.001,0.0,0.0004362172219620319,1.0483856877574471e-05
6,B_E7_E10_AE_AA_mGAM_mGAM_2_S151,0.001,0.001,0.001,0.001,0.0,0.0,0.0
7,B_G9_C8_AA_AE_mGAM_mGAM_4_S177,0.001,0.001,0.001,0.001,0.0,0.0,0.0
8,C2-e003Coalescence-Inoculumn-mGAM,0.4305120167189132,0.42105263157894735,0.4366492146596858,0.4,0.026999999999999913,0.061999999999999944,0.04299999999999993
9,C8-e003Coalescence-mBHI-p5,0.34759916492693116,0.34759916492693116,0.35691318327974275,0.333,0.03200000000000003,0.06699999999999995,0.04200000000000004
10,C8-e003Coalescence-mGAM-p7,0.001,0.001,0.001,0.001,0.0,0.0,0.0
11,C_C5_C8_AA_AE_mGAM_mBHI_6_S221,0.31813361611876984,0.3001049317943337,0.3267015706806283,0.3,0.02499999999999991,0.08899999999999997,0.06400000000000006
12,C_E7_A10_AE_AA_mGAM_mGAM_6_S247,0.001,0.001,0.001,0.001,0.0,0.0,0.0
13,C_G5_C8_AA_AE_mGAM_mGAM_6_S269,0.001,0.001,0.001,0.001,0.0,0.0,0.0
14,Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,0.001,0.001,0.001,0.001,0.0,0.0,0.0
15,Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,0.001,0.001,0.001,0.001,0.0,0.0,0.0
16,Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,0.9174311926605505,0.9153061224489796,0.9211873080859775,0.903,0.014000000000000012,0.02400000000000002,0.019000000000000017
17,Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,0.001,0.001,0.001,0.001,0.0,0.0,0.0
18,D_E11_E10_AE_AA_mGAM_mGAM_4_S347,0.001,0.001,0.001,0.001,0.0,0.0,0.0
19,D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,0.001,0.001,0.001,0.001,0.0,0.0,0.0
20,D_E7_A10_AE_AA_mGAM_mGAM_6_S343,0.001,0.001,0.001,0.001,0.0,0.0,0.0
21,D_G5_C8_AA_AE_mGAM_mGAM_6_S365,0.001,0.001,0.001,0.001,0.0,0.0,0.0
22,D_G9_G8_AA_AE_mGAM_mGAM_4_S369,0.001,0.001,0.001,0.001,0.0,0.0,0.0
23,E10-e003Coalescence-mGAM-p1_S832,0.01978522149657087,0.01664143388383362,0.023451150041958288,0.019201961051341414,-0.016161651790864505,0.07101841799307039,-0.011578755274162966
24,E100-e003Coalescence-mGAM-p3_S155,0.001,0.001,0.001,0.001,0.0,0.0,0.0
25,E100-e003Coalescence-mGAM-p5_S55,0.001,0.001,0.001,0.001,0.0,0.0,0.0
26,E100-e003Coalescence-mGAM-p7_S151,0.001,0.001,0.001,0.001,0.0,0.0,0.0
27,G8-e003Coalescence-mGAM-p1_S818,0.02193760619124501,0.018745272934587495,0.02524442076321188,0.022134226825058383,-0.017476165889853172,-0.00951183848018378,-0.013582342794918212
28,G8-e003Coalescence-mGAM-p3_S177,0.001,0.001,0.001,0.001,0.0,0.0,0.0
29,G8-e003Coalescence-mGAM-p5_S77,0.001,0.001,0.001,0.001,0.0,0.0,0.0
30,G8-e003Coalescence-mGAM-p7_S173,0.001,0.001,0.001,0.001,0.0,0.0,0.0
