,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,10016,22670
A5-e003Coalescence-mBHI-inoculumn-redo,11954,26897
A5-e003Coalescence-mBHI-p1_S740,8817,19482
A5-e003Coalescence-mBHI-p7,11904,26595
A5-e003Coalescence-mGAM-p1_S744,9828,21540
A5-e003Coalescence-mGAM-p3,11979,26864
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,12043,26979
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,11580,25628
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,12026,27016
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,12032,26845
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,12064,27046
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,12058,27016
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,12039,26984
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,12065,27080
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,11804,26292
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,12065,27063
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,9378,20693
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,12066,27070
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,12044,26903
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,12023,26841
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,12057,26973
D2-e003Coalescence-Inoculumn-mBHI,11775,26573
D2-e003Coalescence-mBHI-p1_S719,7974,17643
D2-e003Coalescence-mBHI-p3,11973,26844
D2-e003Coalescence-mBHI-p5,11216,25023
D2-e003Coalescence-mGAM-p1_S723,11993,26861
D2-e003Coalescence-mGAM-p5,12056,27048
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,12062,27067
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,12065,27093
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,11953,26540
E5-e003Coalescence-mBHI-p1_S804,7512,16571
E5-e003Coalescence-mBHI-p3_S12,10956,23788
E5-e003Coalescence-mBHI-p5_S4,11541,25397
E5-e003Coalescence-mBHI-p7_S100,11103,24425
E5-e003Coalescence-mGAM-p1_S808,11466,25401
E5-e003Coalescence-mGAM-p3_S60,11870,26274
E5-e003Coalescence-mGAM-p5_S52,11997,26661
E5-e003Coalescence-mGAM-p7_S148,12055,27017
H2-e003Coalescence-mBHI-p3_S45,11940,26483
H2-e003Coalescence-mBHI-p7_S133,11729,26113
H2-e003Coalescence-mGAM-p1_S787,12012,26871
H2-e003Coalescence-mGAM-p3_S93,12025,26769
H2-e003Coalescence-mGAM-p5_S85,7968,16377
H2-e003Coalescence-mGAM-p7_S181,12055,27016
