,sample,boot_med,boot_low,boot_high,actual_med,shifts_low,shifts_high,shifts_med
0,A_C12_C5_AF_AE_mBHI_mBHI_4_S36,0.49948293691830403,0.49690066603357114,0.501557632398754,0.481,0.030000000000000027,0.039000000000000035,0.03500000000000003
1,A_C4_C5_AF_AE_mBHI_mBHI_2_S28,0.20283975659229206,0.19467213114754098,0.20449897750511248,0.192,0.014000000000000012,0.03200000000000003,0.02200000000000002
2,A_D11_D4_AE_AF_mBHI_mBHI_4_S47,0.40271966527196656,0.3964059196617336,0.411946446961895,0.4,0.029000000000000026,0.05400000000000005,0.04400000000000004
3,A_D3_D4_AE_AF_mBHI_mBHI_2_S39,0.38461538461538464,0.38461538461538464,0.4,0.385,0.0,0.03200000000000003,0.025000000000000022
4,A_G4_C5_AF_AE_mBHI_mGAM_2_S76,0.7605959256367743,0.7589743589743589,0.762051282051282,0.74,0.02400000000000002,0.030000000000000027,0.026000000000000023
5,A_H11_D4_AE_AF_mBHI_mGAM_4_S95,0.6609989373007439,0.659235668789809,0.6631130063965885,0.622,0.05600000000000005,0.06299999999999994,0.06000000000000005
6,A_H3_D4_AE_AF_mBHI_mGAM_2_S87,0.7456410256410256,0.7439836149513569,0.7471736896197327,0.727,0.02200000000000002,0.027000000000000024,0.025000000000000022
7,B_G4_G5_AF_AE_mBHI_mGAM_2_S172,0.7813141683778234,0.7791411042944786,0.7833675564681725,0.762,0.02100000000000002,0.028000000000000025,0.02400000000000002
8,B_H3_H4_AE_AF_mBHI_mGAM_2_S183,0.6483971044467425,0.6469979296066253,0.650103519668737,0.628,0.030999999999999917,0.03700000000000003,0.03400000000000003
9,C5-e003Coalescence-mBHI-inoculumn-redo,0.4609856262833676,0.4584615384615384,0.4631147540983606,0.451,0.020000000000000018,0.028000000000000025,0.02400000000000002
10,C5-e003Coalescence-mBHI-p1_S742,0.5767195767195767,0.5644670050761421,0.5815899581589958,0.545,0.026000000000000023,0.05499999999999994,0.04399999999999993
11,C5-e003Coalescence-mBHI-p5,0.5422680412371135,0.5378265437178912,0.5436793422404934,0.529,0.01997500000000002,0.03200000000000003,0.026999999999999913
12,C5-e003Coalescence-mBHI-p7,0.5609007164790174,0.5578300921187308,0.5626911314984709,0.548,0.018000000000000016,0.026000000000000023,0.02299999999999991
13,C5-e003Coalescence-mGAM-p1_S746,0.5186721991701245,0.5149330587023687,0.5197505197505198,0.5,0.029000000000000026,0.038000000000000034,0.03600000000000003
14,C5-e003Coalescence-mGAM-p3,0.8734817813765182,0.8724696356275303,0.8744939271255061,0.864,0.010000000000000009,0.013000000000000012,0.01200000000000001
15,C5-e003Coalescence-mGAM-p7,0.4148827726809379,0.41319796954314725,0.41683569979716023,0.40700000000000003,0.013487500000000069,0.02100000000000013,0.017000000000000126
16,C_C4_C5_AF_AE_mBHI_mBHI_6_S220,0.548918640576725,0.5455475946775844,0.5563598759048604,0.538,0.01100000000000001,0.03299999999999992,0.018000000000000016
17,C_D11_H4_AE_AF_mBHI_mBHI_4_S239,0.36923076923076925,0.36577868852459017,0.3718079673135853,0.357,0.017000000000000015,0.029000000000000026,0.025000000000000022
18,C_D3_D4_AE_AF_mBHI_mBHI_6_S231,0.411946446961895,0.40271966527196656,0.411946446961895,0.4,0.02100000000000002,0.04400000000000004,0.029000000000000026
19,C_G12_G5_AF_AE_mBHI_mGAM_4_S276,0.7912423625254583,0.7898423765011762,0.7930682976554536,0.777,0.014000000000000012,0.020000000000000018,0.017000000000000015
20,C_G4_C5_AF_AE_mBHI_mGAM_6_S268,0.545643153526971,0.5429999891829913,0.5507853403141361,0.526,0.03299999999999992,0.04699999999999993,0.038000000000000034
21,C_H11_H4_AE_AF_mBHI_mGAM_4_S287,0.46715328467153283,0.46492146596858636,0.4714587737843552,0.448,0.040000000000000036,0.052000000000000046,0.04400000000000004
22,C_H3_D4_AE_AF_mBHI_mGAM_6_S279,0.328141225337487,0.32432432432432434,0.3316115702479339,0.318,0.030000000000000027,0.04299999999999993,0.03699999999999992
23,Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,0.5935550935550935,0.588053553038105,0.5956566701137539,0.571,0.029000000000000026,0.04200000000000004,0.038000000000000034
24,D4-e003Coalescence-Inoculumn-mBHI,0.4522096608427543,0.4502564102564102,0.4537987679671458,0.439,0.02200000000000002,0.028999999999999915,0.026000000000000023
25,D4-e003Coalescence-mBHI-p1_S735,0.5547594677584442,0.5512295081967213,0.558641975308642,0.542,0.020000000000000018,0.03299999999999992,0.025499999999999856
26,D4-e003Coalescence-mBHI-p3,0.4,0.3964059196617336,0.411946446961895,0.4,0.0,0.029000000000000026,0.0
27,D4-e003Coalescence-mBHI-p7,0.333,0.33299999999999996,0.34118852459016397,0.33299999999999996,0.0,0.02400000000000002,0.0
