,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A_C12_C5_AF_AE_mBHI_mBHI_4_S36,10885,13925
A_C4_C5_AF_AE_mBHI_mBHI_2_S28,10886,13919
A_D11_D4_AE_AF_mBHI_mBHI_4_S47,10879,13917
A_D3_D4_AE_AF_mBHI_mBHI_2_S39,10883,13915
A_G4_C5_AF_AE_mBHI_mGAM_2_S76,10816,13841
A_H11_D4_AE_AF_mBHI_mGAM_4_S95,10479,13384
A_H3_D4_AE_AF_mBHI_mGAM_2_S87,10829,13871
B_C4_G5_AF_AE_mBHI_mBHI_2_S124,10827,13873
B_D3_H4_AE_AF_mBHI_mBHI_2_S135,10842,13875
B_G4_G5_AF_AE_mBHI_mGAM_2_S172,10558,13500
B_H3_H4_AE_AF_mBHI_mGAM_2_S183,10489,13465
C5-e003Coalescence-mBHI-inoculumn-redo,10892,13927
C5-e003Coalescence-mBHI-p1_S742,10814,13843
C5-e003Coalescence-mBHI-p3,10782,13814
C5-e003Coalescence-mBHI-p5,10890,13931
C5-e003Coalescence-mBHI-p7,10872,13916
C5-e003Coalescence-mGAM-p1_S746,10625,13577
C5-e003Coalescence-mGAM-p3,10791,13762
C5-e003Coalescence-mGAM-p7,10660,13576
C_C12_G5_AF_AE_mBHI_mBHI_4_S228,10853,13875
C_C4_C5_AF_AE_mBHI_mBHI_6_S220,10897,13931
C_D11_H4_AE_AF_mBHI_mBHI_4_S239,10893,13927
C_D3_D4_AE_AF_mBHI_mBHI_6_S231,10888,13917
C_G12_G5_AF_AE_mBHI_mGAM_4_S276,10501,13310
C_G4_C5_AF_AE_mBHI_mGAM_6_S268,10423,13221
C_H11_H4_AE_AF_mBHI_mGAM_4_S287,10749,13667
C_H3_D4_AE_AF_mBHI_mGAM_6_S279,10669,13556
Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,10247,13018
D4-e003Coalescence-Inoculumn-mBHI,10881,13905
D4-e003Coalescence-mBHI-p1_S735,10888,13922
D4-e003Coalescence-mBHI-p3,10844,13888
D4-e003Coalescence-mBHI-p5,10865,13891
D4-e003Coalescence-mBHI-p7,10856,13866
D4-e003Coalescence-mGAM-p1_S739,10846,13877
D4-e003Coalescence-mGAM-p3,10716,13722
D4-e003Coalescence-mGAM-p5,10743,13694
D4-e003Coalescence-mGAM-p7,10771,13742
D_C4_C5_AF_AE_mBHI_mBHI_6_S316,10871,13894
D_D3_D4_AE_AF_mBHI_mBHI_6_S327,10883,13911
D_G4_C5_AF_AE_mBHI_mGAM_6_S364,10494,13339
D_H3_D4_AE_AF_mBHI_mGAM_6_S375,10836,13798
G5-e003Coalescence-mBHI-p1_S806,10842,13847
G5-e003Coalescence-mBHI-p3_S36,10862,13892
G5-e003Coalescence-mBHI-p5_S28,10898,13925
G5-e003Coalescence-mBHI-p7_S124,10896,13922
G5-e003Coalescence-mGAM-p1_S810,10517,13522
G5-e003Coalescence-mGAM-p3_S84,10709,13587
G5-e003Coalescence-mGAM-p5_S76,10403,13261
G5-e003Coalescence-mGAM-p7_S172,10842,13837
H4-e003Coalescence-mBHI-p1_S799,10884,13922
H4-e003Coalescence-mBHI-p3_S47,10768,13810
H4-e003Coalescence-mBHI-p5_S39,10891,13928
H4-e003Coalescence-mBHI-p7_S135,10894,13919
H4-e003Coalescence-mGAM-p1_S803,10726,13696
H4-e003Coalescence-mGAM-p3_S95,10461,13408
H4-e003Coalescence-mGAM-p5_S87,10770,13660
H4-e003Coalescence-mGAM-p7_S183,10865,13853
