,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C9-e003Coalescence-mGAM-p3,0.36486486486486486,0.42650103519668736
C11-e003Coalescence-mBHI-p3,0.013513513513513514,0.012422360248447204
C9-e003Coalescence-mGAM-p7,0.5135135135135135,0.4389233954451346
C8-e003Coalescence-mGAM-p7,0.02702702702702703,0.034161490683229816
D10-e003Coalescence-mBHI-p3,0.0,0.006211180124223602
F3-e004Assembly-epsilon-p3,0.1891891891891892,0.2515527950310559
A4-e003Coalescence-mBHI-p7,0.013513513513513514,0.003105590062111801
B9-e003Coalescence-mGAM-p5,0.7702702702702703,0.8209109730848861
A4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
B3-e003Coalescence-mBHI-p3,0.7567567567567568,0.7857142857142857
D4-e003Coalescence-mBHI-p5,0.0,0.003105590062111801
C2-e003Coalescence-mBHI-p5,0.0,0.0
B3-e004Assembly-mBHI-p7,0.16216216216216217,0.16770186335403728
D4-e003Coalescence-mBHI-p3,0.06756756756756757,0.041407867494824016
C4-e003GlycerolRevival-mBHI-p2,0.02702702702702703,0.008281573498964804
D10-e003Assembly-mGAM-p5,0.013513513513513514,0.007246376811594203
C3-e004Assembly-mBHI-p5,0.10810810810810811,0.10869565217391304
D3-e004Assembly-mGAM-p7,0.1891891891891892,0.2546583850931677
D3-e003Coalescence-Inoculumn-mBHI,0.5135135135135135,0.45652173913043476
C3-e003Coalescence-mBHI-p7,0.0,0.0
B8-e003Coalescence-mBHI-p5,0.7972972972972973,0.8333333333333334
C2-e003Coalescence-mGAM-p7,0.4594594594594595,0.5113871635610766
B11-e003Coalescence-mGAM-p3,0.8108108108108109,0.8416149068322981
C4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
D5-e003Coalescence-mBHI-p7,0.8108108108108109,0.8405797101449275
C9-e003Coalescence-mBHI-p5,0.32432432432432434,0.37163561076604557
C2-e003Coalescence-mBHI-p3,0.0,0.0
D9-e003Coalescence-mGAM-p7,0.7297297297297297,0.7805383022774327
D4-e003Coalescence-mBHI-p7,0.02702702702702703,0.032091097308488616
E3-e004Assembly-mGAM-p3,0.17567567567567569,0.2494824016563147
B10-e003Coalescence-mGAM-p3,0.05405405405405406,0.07246376811594203
B5-e003Coalescence-Inoculumn-mGAM,0.527027027027027,0.5693581780538303
D5-e003Coalescence-mBHI-p3,0.6891891891891891,0.7287784679089027
D9-e003Coalescence-mGAM-p5,0.8108108108108109,0.8385093167701864
C9-e003Coalescence-mBHI-p3,0.0945945945945946,0.15942028985507245
D10-e003Coalescence-mGAM-p5,0.0,0.0
C8-e003Coalescence-mBHI-p7,0.0,0.0010351966873706005
G3-e004Assembly-epsilon-p7,0.1891891891891892,0.2494824016563147
D4-e003Coalescence-mGAM-p5,0.0,0.002070393374741201
C3-e004Assembly-mBHI-p7,0.1891891891891892,0.2308488612836439
B5-e003Coalescence-mGAM-p5,0.8108108108108109,0.8343685300207039
G3-e004Assembly-epsilon-p3,0.1891891891891892,0.2546583850931677
B5-e003Coalescence-mGAM-p7,0.4864864864864865,0.4751552795031056
B10-e003Coalescence-mBHI-p5,0.5,0.4979296066252588
B3-e004Assembly-mBHI-p5,0.08108108108108109,0.14699792960662525
B5-e003Coalescence-mBHI-p3,0.5405405405405406,0.593167701863354
C5-e003Coalescence-mGAM-p7,0.04054054054054054,0.031055900621118012
C5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0010351966873706005
A10-e003Coalescence-mBHI-p5,0.0,0.0
AM-Fecal,0.8648648648648649,0.7981366459627329
A4-e003Coalescence-mGAM-p5,0.7972972972972973,0.8436853002070394
D5-e003Coalescence-mBHI-p5,0.0,0.0
D4-e003Coalescence-mGAM-p7,0.0,0.0
E3-e004Assembly-mGAM-p7,0.14864864864864866,0.2277432712215321
C4-e003Coalescence-mGAM-p3,0.02702702702702703,0.009316770186335404
B2-e003Coalescence-Inoculumn-mGAM,0.5540540540540541,0.5745341614906833
C5-e003Coalescence-mBHI-p5,0.0,0.007246376811594203
C5-e003Coalescence-mGAM-p3,0.06756756756756757,0.022774327122153208
A9-e003Coalescence-mBHI-p3,0.8108108108108109,0.8457556935817805
D3-e003Coalescence-mBHI-p7,0.7432432432432432,0.7991718426501035
C3-e003Coalescence-mBHI-p5,0.0,0.0
A9-e003Coalescence-mBHI-p5,0.47297297297297297,0.5890269151138716
C11-e003Coalescence-mGAM-p5,0.013513513513513514,0.011387163561076604
B3-e003Coalescence-Inoculumn-mBHI,0.32432432432432434,0.31780538302277433
BG-Fecal,0.7972972972972973,0.65527950310559
D3-e003Coalescence-mGAM-p3,0.32432432432432434,0.3364389233954451
D9-e003Coalescence-mGAM-p3,0.6486486486486487,0.6677018633540373
D3-e003Coalescence-mGAM-p5,0.8108108108108109,0.8333333333333334
C10-e003Coalescence-mGAM-p3,0.4189189189189189,0.38509316770186336
B9-e003Coalescence-mGAM-p7,0.4189189189189189,0.4192546583850932
B11-e003Coalescence-mGAM-p7,0.3918918918918919,0.38819875776397517
C3-e003Coalescence-Inoculumn-mGAM,0.3108108108108108,0.42028985507246375
B5-e003Coalescence-mBHI-p7,0.7162162162162162,0.7184265010351967
A3-e003Coalescence-mGAM-p7,0.33783783783783783,0.3053830227743271
D4-e003Coalescence-Inoculumn-mBHI,0.0,0.0
A4-e003Coalescence-mBHI-p5,0.0,0.007246376811594203
B3-e003Coalescence-mBHI-p7,0.5945945945945946,0.6376811594202898
D10-e003Coalescence-mGAM-p7,0.0,0.0010351966873706005
C12-e003Coalescence-mGAM-p3,0.06756756756756757,0.038302277432712216
C11-e003Coalescence-mGAM-p3,0.0,0.0
A10-e003Coalescence-mBHI-p7,0.0,0.0
C10-e003Coalescence-mBHI-p7,0.0,0.0
B9-e003Coalescence-mBHI-p5,0.8108108108108109,0.8302277432712215
B10-e003Coalescence-mBHI-p3,0.06756756756756757,0.09213250517598344
C11-e003Coalescence-mBHI-p5,0.0,0.002070393374741201
E3-e004Assembly-mGAM-p5,0.13513513513513514,0.2111801242236025
D10-e003Coalescence-mGAM-p3,0.0,0.0
A9-e003Coalescence-mBHI-p7,0.8108108108108109,0.8426501035196687
C2-e003Coalescence-Inoculumn-mGAM,0.04054054054054054,0.027950310559006212
B3-e003Coalescence-Inoculumn-mGAM,0.7702702702702703,0.8229813664596274
B4-e003Coalescence-Inoculumn-mGAM,0.2702702702702703,0.2515527950310559
A10-e003Coalescence-mGAM-p7,0.12162162162162163,0.06728778467908902
D9-e003Coalescence-mBHI-p5,0.6351351351351351,0.7743271221532091
C4-e003Coalescence-Inoculumn-mGAM,0.0,0.10662525879917184
D4-e003Coalescence-mGAM-p3,0.0,0.002070393374741201
B9-e003Coalescence-mBHI-p7,0.7297297297297297,0.7639751552795031
C3-e003Coalescence-mGAM-p7,0.4864864864864865,0.4389233954451346
D9-e003Coalescence-mBHI-p7,0.6756756756756757,0.7080745341614907
D3-e004Assembly-mGAM-p5,0.1891891891891892,0.2536231884057971
C5-e003Coalescence-mBHI-p7,0.05405405405405406,0.06935817805383022
C11-e003Coalescence-mGAM-p7,0.0,0.010351966873706004
D10-e003Coalescence-mBHI-p7,0.05405405405405406,0.10559006211180125
C9-e003Coalescence-mBHI-p7,0.32432432432432434,0.3612836438923395
B8-e003Coalescence-mGAM-p5,0.40540540540540543,0.5331262939958592
C3-e004Assembly-mBHI-p3,0.04054054054054054,0.11801242236024845
B3-e003Coalescence-mBHI-p5,0.6756756756756757,0.6863354037267081
C2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
C10-e003Coalescence-mGAM-p5,0.6216216216216216,0.7091097308488613
C10-e003Coalescence-mBHI-p5,0.0,0.0
B9-e003Coalescence-mBHI-p3,0.6081081081081081,0.5683229813664596
C3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
