,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.348,0.008791488083519474
C9-e003Coalescence-mGAM-p3,0.21649999999999997,0.008284286847931812
D2-e004Assembly-mGAM-p7,0.8598815352840391,0.14997458921409684
B5-e004Assembly-mBHI-p3,0.013428675121306731,0.014595017821885449
C11-e003Coalescence-mBHI-p3,0.1615,0.005743772214566056
D11-e003Coalescence-mBHI-p5,0.0018014108146221668,0.0017147833843208292
C9-e003Coalescence-mGAM-p7,0.18850000000000003,0.004223361922475042
C8-e003Coalescence-mGAM-p7,0.119,0.105
D10-e003Coalescence-mBHI-p3,0.063,0.0030551979864713065
F3-e004Assembly-epsilon-p3,0.04163260549349008,0.06642633341729115
B2-e003Coalescence-mBHI-p3,0.5965,0.479
A8-e003Coalescence-mBHI-p3,0.992,0.9595
A4-e003Coalescence-mBHI-p7,0.017435277118289752,0.013054027760377401
B4-e003Coalescence-mBHI-p5,0.09589402415059363,0.17497035408311298
A3-e003Coalescence-mBHI-p7,0.0011912301136719706,0.0007384574408669409
B9-e003Coalescence-mGAM-p5,0.0036028216292443337,0.0034295667686416583
A4-e003Coalescence-mBHI-inoculumn-redo,0.17550000000000002,0.153
B3-e003Coalescence-mBHI-p3,0.0006553122379311638,0.0004906411345016563
D4-e003Coalescence-mBHI-p5,0.011709170295044084,0.011146091998085389
C2-e003Coalescence-mBHI-p5,0.014384103622589045,0.008916873598468312
B3-e004Assembly-mBHI-p7,0.006392934943372909,0.47750000000000004
B5-e004Assembly-mBHI-p7,0.0595,0.002692393225577839
D4-e003Coalescence-mBHI-p3,0.109,0.017231316643698168
C4-e003GlycerolRevival-mBHI-p2,0.010094107805325646,0.006257455156819867
G5-e004Assembly-epsilon-p3,0.009920071463854515,0.007427291656766452
C5-e004Assembly-mBHI-p3,0.472,0.03465735902799726
D10-e003Assembly-mGAM-p5,0.08664339756999316,0.09981346202722145
B2-e003Assembly-mBHI-p5,0.9837929783018712,0.935
C3-e004Assembly-mBHI-p5,0.007283090441817238,0.446
B2-e003Coalescence-mBHI-p5,0.4195,0.367
B8-e003Assembly-mGAM-p5,0.917805122156634,0.9384595834153637
C4-e003Coalescence-mGAM-p7,0.013699146307227662,0.00849226056996982
B12-e003Coalescence-mBHI-p3,0.014411286516977335,0.013718267074566633
D3-e004Assembly-mGAM-p7,0.013699146307227662,0.442
C8-e003Assembly-mGAM-p3,0.9424635855096438,0.9837481070502225
C3-e003Coalescence-mGAM-p3,0.005811759039429917,0.003602777211502348
B4-e003Assembly-mBHI-p5,0.177,0.005169202086068586
D4-e004Assembly-mGAM-p5,0.031224454120117557,0.04256880198049923
D3-e003Coalescence-Inoculumn-mBHI,0.4565,0.0024757638855888173
C3-e003Coalescence-mBHI-p7,0.003968028585541805,0.002459827199577465
D11-e003Coalescence-mGAM-p5,0.005947515070498582,0.0056615070466465465
A11-e003Coalescence-mGAM-p7,0.016438975568673193,0.043
B8-e003Coalescence-mBHI-p5,0.041,0.0135
B10-e003Assembly-mGAM-p5,0.06392934943372909,0.047864768454717134
C2-e003Coalescence-mGAM-p7,0.0027398292614455324,0.001698452113993964
D3-e003Coalescence-mBHI-p5,0.01040815137337252,0.009907637331631457
B11-e003Coalescence-mGAM-p3,0.0022571894544663293,0.0021486442405947736
C4-e003Coalescence-mBHI-inoculumn-redo,0.07449999999999996,0.005752821676431169
B5-e003Assembly-mBHI-p5,0.014987737977656427,0.014266997757549298
D2-e003Coalescence-mBHI-p5,0.02882257303395467,0.03929427875123005
D8-e003Assembly-mGAM-p5,0.692,0.9752062720761989
D5-e003Coalescence-mGAM-p5,0.012920463773841748,0.012299135997887326
B5-e003Coalescence-mBHI-p5,0.009607524344651557,0.009145511383044421
D5-e003Coalescence-mBHI-p7,0.010126849984902991,0.00963986334969547
C9-e003Coalescence-mBHI-p5,0.0036734651906020657,0.003496813175869926
