,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.222,0.76
C9-e003Coalescence-mGAM-p3,0.843,0.146
D2-e004Assembly-mGAM-p7,0.13975057517947329,0.12255974486806262
B5-e004Assembly-mBHI-p3,0.010690120481287002,0.00907529396689227
C11-e003Coalescence-mBHI-p3,0.224,0.762
D11-e003Coalescence-mBHI-p5,0.00027070256808247,0.9996050425776344
C9-e003Coalescence-mGAM-p7,0.75,0.234
C8-e003Coalescence-mGAM-p7,0.947,0.002076725642932123
D10-e003Coalescence-mBHI-p3,0.073,0.921
F3-e004Assembly-epsilon-p3,0.06451968743049193,0.05261441711482721
B2-e003Coalescence-mBHI-p3,0.5,0.011206107867527858
A8-e003Coalescence-mBHI-p3,0.0020082370415785197,0.0014221931968284149
A4-e003Coalescence-mBHI-p7,0.9995898585892175,0.00017291936020623103
B4-e003Coalescence-mBHI-p5,0.8285944184910811,0.16364071331813673
A3-e003Coalescence-mBHI-p7,0.9999675600653637,5.898756026892104e-06
B9-e003Coalescence-mGAM-p5,4.7054488785234035e-05,0.9998609459980666
A4-e003Coalescence-mBHI-inoculumn-redo,0.845,0.003296667300386419
B3-e003Coalescence-mBHI-p3,0.9996995875149921,7.482329253624857e-05
D4-e003Coalescence-mBHI-p5,0.0008686072225108989,0.9989273124123395
C2-e003Coalescence-mBHI-p5,0.9997034679849478,0.00012602839106732404
B3-e004Assembly-mBHI-p7,0.005589943466089466,0.004411828934386487
B5-e004Assembly-mBHI-p7,0.0030810085005078588,0.0026134338936956597
D4-e003Coalescence-mBHI-p3,0.018588613849835556,0.9790770208474632
C4-e003GlycerolRevival-mBHI-p2,0.9997411677938605,0.00010361379258345363
G5-e004Assembly-epsilon-p3,0.009375557873561466,0.007167931468599952
C5-e004Assembly-mBHI-p3,0.030560279327022356,0.025208265350779226
D10-e003Assembly-mGAM-p5,0.9479481485476412,0.04585261872593994
B2-e003Assembly-mBHI-p5,0.015238202012635276,0.010927874017595242
C3-e004Assembly-mBHI-p5,0.006952285412631698,0.005392662040035154
B2-e003Coalescence-mBHI-p5,0.767,0.006449182679553256
B8-e003Assembly-mGAM-p5,0.12583939192440016,0.10585500561211691
C4-e003Coalescence-mGAM-p7,0.999557816865958,0.00018503060711869417
B12-e003Coalescence-mBHI-p3,0.00040946265566901456,0.9993403718483341
D3-e004Assembly-mGAM-p7,0.013857627867164168,0.01081855564616345
C8-e003Assembly-mGAM-p3,0.05397800273938937,0.04126364535831555
C3-e003Coalescence-mGAM-p3,0.9999314925098836,1.6052462815865105e-05
B4-e003Assembly-mBHI-p5,0.745,0.003969323365389949
D4-e004Assembly-mGAM-p5,0.037952924106651784,0.031665709963190174
D3-e003Coalescence-Inoculumn-mBHI,0.526,0.45299999999999996
C3-e003Coalescence-mBHI-p7,0.999920818235706,1.873381220783452e-05
D11-e003Coalescence-mGAM-p5,0.0002741563205166975,0.9996356243247608
A11-e003Coalescence-mGAM-p7,0.0038338879488861895,0.9904929273606948
B8-e003Coalescence-mBHI-p5,0.001124624962158161,0.9945203548240353
B10-e003Assembly-mGAM-p5,0.9765644000704489,0.01927427154179231
C2-e003Coalescence-mGAM-p7,0.9999406216159898,1.2935251286361928e-05
D3-e003Coalescence-mBHI-p5,0.001366132706589479,0.998298517340384
B11-e003Coalescence-mGAM-p3,2.130179627162372e-05,0.9999294387670864
C4-e003Coalescence-mBHI-inoculumn-redo,0.955,0.0030718222443360636
B5-e003Assembly-mBHI-p5,0.00041673334811121636,0.9988018713444221
D2-e003Coalescence-mBHI-p5,0.0058808053295827355,0.9895842586918305
D8-e003Assembly-mGAM-p5,0.06626334995741794,0.051884968403337575
D5-e003Coalescence-mGAM-p5,0.0003435551203469889,0.9995059527588508
B5-e003Coalescence-mBHI-p5,0.0011278870659384385,0.9986538743884242
D5-e003Coalescence-mBHI-p7,0.00015879136579086028,0.9996653291217962
C9-e003Coalescence-mBHI-p5,0.00020009456756854237,0.9997083459760684
A10-e003Coalescence-mBHI-p3,0.75,0.012150646600005961
A5-e003Coalescence-mGAM-p3,0.0004078346296522586,0.9992077984520681
A2-e003Coalescence-Inoculumn-mGAM,0.020134542559873944,0.0143141807096038
E5-e004Assembly-mGAM-p5,0.007562816192594761,0.005958712574880797
D8-e003Coalescence-mGAM-p5,0.006174733005533026,0.925
A12-e003Coalescence-mGAM-p3,0.0012758286483287033,0.9967598580754549
C2-e003Coalescence-mBHI-p3,0.9991517820046473,0.00037364861868287346
C4-e004Assembly-mBHI-p5,0.011522875271002474,0.008707460532907885
D9-e003Coalescence-mGAM-p7,6.186821266995457e-05,0.9998450467792871
D4-e003Coalescence-mBHI-p7,0.0003193869064046246,0.9995334603149232
D8-e003Assembly-mGAM-p3,0.12286736425881639,0.10534034720397925
E3-e004Assembly-mGAM-p3,0.01994193931685418,0.015549033382150372
B10-e003Coalescence-mGAM-p3,0.75,0.231
A9-e003Coalescence-mGAM-p7,0.0012916552025818635,0.9984191957548476
B5-e003Coalescence-Inoculumn-mGAM,0.0003434202918514315,0.9991873459918155
D10-e003Coalescence-mBHI-p5,0.0018646079130213377,0.9978170770318803
D5-e003Coalescence-mBHI-p3,0.00013981865152392153,0.9990771424918924
C5-e003Coalescence-mBHI-p3,0.01106271196133748,0.9865724082716102
D9-e003Coalescence-mGAM-p5,0.000586838012150044,0.9993189422901241
C9-e003Coalescence-mBHI-p3,0.004500201414540387,0.9947532494860747
D10-e003Coalescence-mGAM-p5,0.9993400515644767,0.000535188018234707
C8-e003Coalescence-mBHI-p7,0.681,0.0030987283618915396
B11-e003Assembly-mGAM-p5,0.0019208817336439127,0.9970838341122272
G3-e004Assembly-epsilon-p7,0.018844297541354714,0.014576811529937082
B4-e003Coalescence-mGAM-p5,0.9987032879204817,0.00043584319581371143
D4-e003Coalescence-mGAM-p5,0.036,0.957
C3-e004Assembly-mBHI-p7,0.0026467890513811997,0.0020496359035164324
B5-e003Coalescence-mGAM-p5,0.091,0.9
B5-e003Coalescence-Inoculumn-mBHI,0.516,0.46199999999999997
G3-e004Assembly-epsilon-p3,0.0648034200100626,0.053610404291078245
C2-e003Coalescence-mGAM-p3,0.9996053781528862,0.00015782250409619803
B5-e003Coalescence-mGAM-p7,0.111,0.87
D8-e003Coalescence-mBHI-p5,4.561999520107762e-05,0.9998769507267272
F5-e004Assembly-epsilon-p5,0.03710848814685898,0.027475563834789853
E5-e004Assembly-mGAM-p7,0.015675053587061383,0.012276399549142357
C10-e003Assembly-mGAM-p3,0.8072220122903991,0.17712349938693184
B10-e003Coalescence-mBHI-p5,0.0001364580218991567,0.9997264327806014
D5-e003Coalescence-Inoculumn-mGAM,0.0005589976640379521,0.9993476878679484
F2-e004Assembly-epsilon-p3,0.013411401469930808,0.011862033093450793
B3-e004Assembly-mBHI-p5,0.010126406971833857,0.007831416622063719
B5-e003Coalescence-mBHI-p3,0.0029530207265508366,0.9965864616529411
G4-e004Assembly-epsilon-p5,0.0939600608917404,0.08412169821846308
C4-e003Coalescence-mGAM-p5,0.9995901823402791,0.000160357876526075
C5-e003Coalescence-mGAM-p7,0.167,0.824
C5-e003Coalescence-mBHI-inoculumn-redo,0.654,0.302
A2-e003Coalescence-mBHI-p7,0.03494242439394595,0.02565988094382822
A10-e003Coalescence-mBHI-p5,0.564,0.0044357726194176285
A4-e003Coalescence-mGAM-p5,6.74086496254729e-05,0.9996229831586955
D5-e003Coalescence-mBHI-p5,0.9997933120588174,7.421760796416082e-05
D3-e003Assembly-mBHI-p3,0.02266838009815328,0.019255065887290573
D4-e003Coalescence-mGAM-p7,0.0044162299399368166,0.9950658833650492
A8-e003Coalescence-mBHI-p7,0.0024905755922728467,0.0017634637693606369
E3-e004Assembly-mGAM-p7,0.018218894599530293,0.014271794680832344
B9-e003GlycerolRevival-mGAM-p2,0.01134458532674083,0.9859658956538975
C4-e003Coalescence-mGAM-p3,0.9982607282971282,0.0005350816982618408
B2-e003Coalescence-Inoculumn-mGAM,0.015141214843135062,0.615
D5-e003Coalescence-mGAM-p7,0.027689226480038628,0.9712666644111041
C5-e003Coalescence-mBHI-p5,0.003284613015048594,0.9959738428548103
C5-e003Coalescence-mGAM-p3,0.09799999999999998,0.893
A3-e003Coalescence-mBHI-inoculumn-redo,0.9625049012031166,0.012410647717747542
D9-e003Assembly-mGAM-p5,0.1159625574896004,0.10673021223228198
B12-e003Coalescence-mGAM-p3,0.00033945831941021746,0.9994386199833353
A11-e003Coalescence-mBHI-p7,0.00023794830181879856,0.9995333868780434
A3-e003Coalescence-Inoculumn-mGAM,0.02605927776428599,0.625
D10-e003Assembly-mGAM-p3,0.9214827368178091,0.07051369735184275
C3-e003Coalescence-mGAM-p5,0.9998583821710297,3.976146493781422e-05
B4-e004Assembly-mBHI-p5,0.011168261898979709,0.008407886796675418
C10-e003GlycerolRevival-mGAM-p2,0.9916558152556801,0.002738170160795586
D3-e003Assembly-mBHI-p5,0.00842909923957809,0.0082199980553582
A10-e003Coalescence-mGAM-p3,0.941,0.0025559999415778437
A9-e003Coalescence-mBHI-p3,0.00014133781556678683,0.9994873539368893
A2-e003Coalescence-Inoculumn-mBHI,0.016714390113113566,0.011861774020246131
D3-e003Coalescence-mBHI-p7,7.378010899483393e-05,0.9998300924612696
C3-e003Coalescence-mBHI-p5,0.9998639475571784,3.4522011292207545e-05
D11-e003Assembly-mGAM-p3,0.005503894178125261,0.9823354295469604
D2-e003Assembly-mBHI-p3,0.0121142266767894,0.009288948556244224
B3-e003Assembly-mBHI-p5,0.9997528188475305,0.00010442581070756231
A9-e003Coalescence-mBHI-p5,0.0014067438295342427,0.99643748328548
D5-e003Coalescence-Inoculumn-mBHI,5.063532356543619e-05,0.9994063128045507
B2-e003Coalescence-mGAM-p3,0.9987484843737959,0.0003596245173432563
B4-e003Assembly-mBHI-p3,0.9844530462282951,0.004165764063397179
C11-e003Coalescence-mGAM-p5,0.78,0.205
B3-e003Coalescence-Inoculumn-mBHI,0.9999108639689349,1.9583189031506308e-05
A8-e003Coalescence-mBHI-p5,0.005297997226906076,0.0039023600931852253
D5-e004Assembly-mGAM-p7,0.01151636590069816,0.009048826400395544
C2-e003Assembly-mBHI-p5,0.07938634132396136,0.06494852130742818
D9-e003Coalescence-mBHI-p3,0.0030075594594307095,0.9966672389854025
D5-e003Assembly-mBHI-p5,0.0008374142900222343,0.9981878376030536
A5-e003Coalescence-mBHI-p7,0.003408624017084945,0.9626052916888753
G2-e004Assembly-epsilon-p3,0.019306323077703035,0.01695677828824741
D2-e003Coalescence-mGAM-p5,0.00010854133412450873,0.999799104617285
B9-e003Assembly-mGAM-p5,0.007158258494292529,0.42900000000000005
D3-e003Coalescence-mGAM-p3,0.364,0.611
D9-e003Coalescence-mGAM-p3,0.00011787192002322337,0.9997584596566337
E2-e004Assembly-mGAM-p7,0.09255455079516191,0.07769220602272776
D3-e003Coalescence-mGAM-p5,0.31,0.673
C10-e003Coalescence-mGAM-p3,0.999803670065606,6.829487338088867e-05
A5-e003Coalescence-mBHI-inoculumn-redo,0.01248065295185653,0.758
B11-e003Assembly-mGAM-p3,0.0030971391186757416,0.9961104820431108
D2-e003Assembly-mBHI-p5,0.025866680021226465,0.020099435489136484
B9-e003Coalescence-mGAM-p7,0.00015879136579086028,0.9997286221784528
B11-e003Coalescence-mGAM-p7,0.000456214007221761,0.9993412351272399
C3-e003Coalescence-Inoculumn-mGAM,0.405,0.565
B5-e003Coalescence-mBHI-p7,0.00010607448562167899,0.9997839438606629
A3-e003Coalescence-mGAM-p7,0.9992057874014257,0.0003123391125892018
D4-e003Coalescence-Inoculumn-mBHI,0.689,0.268
A4-e003Coalescence-mBHI-p5,0.9997963848993375,8.995192954662654e-05
B3-e003Coalescence-mBHI-p7,0.9999122706693283,1.723155396884947e-05
C2-e004Assembly-mBHI-p7,0.013090732820801995,0.011409105713676855
D10-e003Coalescence-mGAM-p7,0.9998197143389808,0.00010913474429090558
C12-e003Coalescence-mGAM-p3,0.818,0.17
