,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.7087777777777777,0.2522874408262803
C9-e003Coalescence-mGAM-p3,0.5813333333333334,0.6101646822550567
B5-e004Assembly-mBHI-p3,0.2783333333333333,0.5027538731889256
C11-e003Coalescence-mBHI-p3,0.6951111111111112,0.25616019939750395
D11-e003Coalescence-mBHI-p5,0.649,0.24630153493042606
C9-e003Coalescence-mGAM-p7,0.4113333333333333,0.8788742648113614
C8-e003Coalescence-mGAM-p7,0.35133333333333333,0.8202612609381724
D10-e003Coalescence-mBHI-p3,0.6963333333333332,0.2861803901879214
F3-e004Assembly-epsilon-p3,0.6666666666666666,0.2367559890976904
B2-e003Coalescence-mBHI-p3,0.5222222222222223,0.09197862573518864
A8-e003Coalescence-mBHI-p3,0.3882222222222222,0.26604687275857125
A4-e003Coalescence-mBHI-p7,0.8888888888888888,0.1546489384593315
B9-e003Coalescence-mGAM-p5,0.6775555555555556,0.24300089657151053
A4-e003Coalescence-mBHI-inoculumn-redo,0.2698888888888889,0.9366625304834314
B3-e003Coalescence-mBHI-p3,0.8854444444444444,0.16187688280017212
D4-e003Coalescence-mBHI-p5,0.4625555555555556,0.622958255630469
C2-e003Coalescence-mBHI-p5,0.6666666666666666,0.09517368383302253
B3-e004Assembly-mBHI-p7,0.6602222222222223,0.2551192081480419
B5-e004Assembly-mBHI-p7,0.37233333333333335,0.5101778439248316
D4-e003Coalescence-mBHI-p3,0.35155555555555557,0.728393881796012
C4-e003GlycerolRevival-mBHI-p2,0.8888888888888888,0.16216920097546983
C5-e004Assembly-mBHI-p3,0.2313333333333333,0.5147555587433655
D10-e003Assembly-mGAM-p5,0.9745555555555556,0.1732222421460336
C3-e004Assembly-mBHI-p5,0.6628888888888889,0.25349332950796155
B8-e003Assembly-mGAM-p5,0.3937777777777778,0.2619002295223067
F4-e004Assembly-epsilon-p5,0.5555555555555556,0.20928679529479272
C4-e003Coalescence-mGAM-p7,0.7462222222222221,0.41982681824702334
B12-e003Coalescence-mBHI-p3,0.6166666666666667,0.22976606656146892
D3-e004Assembly-mGAM-p7,0.6593333333333333,0.2550109381724286
C8-e003Assembly-mGAM-p3,0.3798888888888889,0.25678134414000864
C3-e003Coalescence-mGAM-p3,0.5418888888888889,0.7216611318318749
B4-e003Assembly-mBHI-p5,0.263,0.9599355544398221
D4-e004Assembly-mGAM-p5,0.6602222222222223,0.282270154927557
D3-e003Coalescence-Inoculumn-mBHI,0.6604444444444444,0.251611139004447
C8-e003Assembly-mGAM-p5,0.35888888888888887,0.222033675225936
C3-e003Coalescence-mBHI-p7,0.314,0.9181145101133266
D11-e003Coalescence-mGAM-p5,0.6614444444444445,0.24745879357337539
A11-e003Coalescence-mGAM-p7,0.6837777777777778,0.24638936307559892
B8-e003Coalescence-mBHI-p5,0.6687777777777778,0.24255612537656004
