,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,826,369
C9-e003Coalescence-mGAM-p3,889,395
C11-e003Coalescence-mBHI-p3,866,377
D11-e003Coalescence-mBHI-p5,828,361
C9-e003Coalescence-mGAM-p7,887,384
C8-e003Coalescence-mGAM-p7,889,393
D10-e003Coalescence-mBHI-p3,889,393
F3-e004Assembly-epsilon-p3,868,387
B2-e003Coalescence-mBHI-p3,685,310
A8-e003Coalescence-mBHI-p3,880,387
e004-inoculumn-fecal-BD,840,350
A4-e003Coalescence-mBHI-p7,730,309
B9-e003Coalescence-mGAM-p5,860,388
A4-e003Coalescence-mBHI-inoculumn-redo,889,394
B3-e003Coalescence-mBHI-p3,866,387
D4-e003Coalescence-mBHI-p5,852,368
C2-e003Coalescence-mBHI-p5,269,108
B3-e004Assembly-mBHI-p7,864,385
B5-e004Assembly-mBHI-p7,877,389
D4-e003Coalescence-mBHI-p3,832,366
C4-e003GlycerolRevival-mBHI-p2,877,384
D10-e003Assembly-mGAM-p5,571,232
B2-e003Assembly-mBHI-p5,359,172
C3-e004Assembly-mBHI-p5,853,379
B8-e003Assembly-mGAM-p5,853,385
F4-e004Assembly-epsilon-p5,857,367
C4-e003Coalescence-mGAM-p7,885,391
B12-e003Coalescence-mBHI-p3,848,385
D3-e004Assembly-mGAM-p7,863,383
C8-e003Assembly-mGAM-p3,877,388
C3-e003Coalescence-mGAM-p3,891,396
B4-e003Assembly-mBHI-p5,859,382
D4-e004Assembly-mGAM-p5,862,367
D3-e003Coalescence-Inoculumn-mBHI,887,395
C8-e003Assembly-mGAM-p5,874,388
C3-e003Coalescence-mBHI-p7,886,394
D11-e003Coalescence-mGAM-p5,830,355
A11-e003Coalescence-mGAM-p7,839,364
B8-e003Coalescence-mBHI-p5,873,390
B10-e003Assembly-mGAM-p5,841,374
C2-e003Coalescence-mGAM-p7,886,395
D3-e003Coalescence-mBHI-p5,875,389
B11-e003Coalescence-mGAM-p3,886,392
C4-e003Coalescence-mBHI-inoculumn-redo,891,396
B5-e003Assembly-mBHI-p5,820,358
D2-e003Coalescence-mBHI-p5,770,325
D8-e003Assembly-mGAM-p5,873,387
D5-e003Coalescence-mGAM-p5,878,388
B5-e003Coalescence-mBHI-p5,878,395
D5-e003Coalescence-mBHI-p7,876,384
C9-e003Coalescence-mBHI-p5,872,381
A5-e003Coalescence-mGAM-p3,876,379
A2-e003Coalescence-Inoculumn-mGAM,881,387
E5-e004Assembly-mGAM-p5,807,355
D8-e003Coalescence-mGAM-p5,855,370
A12-e003Coalescence-mGAM-p3,849,368
C2-e003Coalescence-mBHI-p3,847,377
C4-e004Assembly-mBHI-p5,770,325
D9-e003Coalescence-mGAM-p7,879,387
D4-e003Coalescence-mBHI-p7,875,383
D8-e003Assembly-mGAM-p3,867,386
E4-e004Assembly-mGAM-p7,857,357
E3-e004Assembly-mGAM-p3,868,386
B10-e003Coalescence-mGAM-p3,886,392
A9-e003Coalescence-mGAM-p7,871,391
D5-e004Assembly-mGAM-p5,439,203
B5-e003Coalescence-Inoculumn-mGAM,870,374
D10-e003Coalescence-mBHI-p5,842,362
D5-e003Coalescence-mBHI-p3,864,377
C5-e003Coalescence-mBHI-p3,754,340
D9-e003Coalescence-mGAM-p5,887,394
C9-e003Coalescence-mBHI-p3,881,392
D10-e003Coalescence-mGAM-p5,877,385
C8-e003Coalescence-mBHI-p7,701,297
B11-e003Assembly-mGAM-p5,830,362
G3-e004Assembly-epsilon-p7,800,365
B4-e003Coalescence-mGAM-p5,889,395
D4-e003Coalescence-mGAM-p5,838,360
C3-e004Assembly-mBHI-p7,857,381
B5-e003Coalescence-mGAM-p5,883,385
BB-Fecal,531,230
B5-e003Coalescence-Inoculumn-mBHI,880,389
G3-e004Assembly-epsilon-p3,852,378
C2-e003Coalescence-mGAM-p3,878,385
B5-e003Coalescence-mGAM-p7,879,381
D8-e003Coalescence-mBHI-p5,884,396
E5-e004Assembly-mGAM-p7,744,342
C10-e003Assembly-mGAM-p3,851,370
B10-e003Coalescence-mBHI-p5,874,389
D5-e003Coalescence-Inoculumn-mGAM,826,354
B3-e004Assembly-mBHI-p5,856,380
B5-e003Coalescence-mBHI-p3,891,395
G4-e004Assembly-epsilon-p5,857,367
C4-e003Coalescence-mGAM-p5,891,396
C5-e003Coalescence-mGAM-p7,831,357
C5-e003Coalescence-mBHI-inoculumn-redo,891,395
A10-e003Coalescence-mBHI-p5,577,255
BF-Fecal,687,293
AM-Fecal,700,298
B8-e003Assembly-mGAM-p3,863,380
A4-e003Coalescence-mGAM-p5,879,388
D5-e003Coalescence-mBHI-p5,891,396
D3-e003Assembly-mBHI-p3,858,386
D4-e003Coalescence-mGAM-p7,825,358
A8-e003Coalescence-mBHI-p7,873,386
e003-inoculumn-fecal-AC,850,369
E3-e004Assembly-mGAM-p7,791,351
B9-e003GlycerolRevival-mGAM-p2,811,380
C4-e003Coalescence-mGAM-p3,891,396
B2-e003Coalescence-Inoculumn-mGAM,884,391
D5-e003Coalescence-mGAM-p7,834,363
C5-e003Coalescence-mBHI-p5,877,387
C5-e003Coalescence-mGAM-p3,841,360
A3-e003Coalescence-mBHI-inoculumn-redo,800,350
D9-e003Assembly-mGAM-p5,638,300
B12-e003Coalescence-mGAM-p3,880,387
A11-e003Coalescence-mBHI-p7,822,357
A3-e003Coalescence-Inoculumn-mGAM,881,389
D10-e003Assembly-mGAM-p3,860,368
C3-e003Coalescence-mGAM-p5,891,396
C10-e003GlycerolRevival-mGAM-p2,853,373
D3-e003Assembly-mBHI-p5,865,385
A10-e003Coalescence-mGAM-p3,891,394
A9-e003Coalescence-mBHI-p3,885,390
A2-e003Coalescence-Inoculumn-mBHI,838,383
