,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
D2-e004Assembly-mGAM-p7,,0.0
D11-e003Coalescence-mBHI-p5,,0.0
e004-inoculumn-fecal-AK,,0.0
D4-e004Assembly-mGAM-p5,,0.0
D3-e003Coalescence-Inoculumn-mBHI,,0.0
E4-e004Assembly-mGAM-p7,,0.0
D2-e004Assembly-mGAM-p3,,0.0
D5-e003Coalescence-Inoculumn-mGAM,,1.0
F2-e004Assembly-epsilon-p3,,0.0
D5-e003Coalescence-Inoculumn-mBHI,,0.571
G4-e004Assembly-epsilon-p3,,0.0
E2-e004Assembly-mGAM-p7,,0.0
D4-e003Coalescence-Inoculumn-mBHI,,1.0
C2-e004Assembly-mBHI-p7,,0.0
F4-e004Assembly-epsilon-p3,,0.0
E2-e004Assembly-mGAM-p5,,0.0
C4-e004Assembly-mBHI-p3,,0.0
D5-e003Coalescence-mGAM-p3,,1.0
F2-e004Assembly-epsilon-p7,,0.0
E2-e004Assembly-mGAM-p3,,0.0
D4-e004Assembly-mGAM-p7,,0.0
G2-e004Assembly-epsilon-p5,,0.0
F2-e004Assembly-epsilon-p5,,0.0
A11-e003Coalescence-mBHI-p3,,1.0
H111-e003Coalescence-mBHI-p3_S144,,1.0
H8-e003Coalescence-mBHI-p7_S137,,1.0
H8-e003Coalescence-mBHI-p5_S41,,1.0
H111-e003Coalescence-mBHI-p5_S44,,1.0
E111-e003Coalescence-mBHI-p7_S104,,1.0
