,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.25,0.0
C9-e003Coalescence-mGAM-p3,0.2365,0.0
D2-e004Assembly-mGAM-p7,0.75,0.0
B5-e004Assembly-mBHI-p3,0.5,0.0
C11-e003Coalescence-mBHI-p3,0.25,0.0
D11-e003Coalescence-mBHI-p5,0.25,0.0
C9-e003Coalescence-mGAM-p7,0.2425,0.0
C8-e003Coalescence-mGAM-p7,0.25,0.0
D10-e003Coalescence-mBHI-p3,0.25,0.0
B2-e003Coalescence-mBHI-p3,0.25,0.0
A8-e003Coalescence-mBHI-p3,0.9237500000000001,1.0
A4-e003Coalescence-mBHI-p7,0.25,0.0
B9-e003Coalescence-mGAM-p5,0.24475,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.587,0.10525000000000001
B3-e003Coalescence-mBHI-p3,0.25,0.0
D4-e003Coalescence-mBHI-p5,0.0,0.0
B5-e004Assembly-mBHI-p7,0.75,0.0
D4-e003Coalescence-mBHI-p3,0.0,0.0
C4-e003GlycerolRevival-mBHI-p2,0.25,0.0
G5-e004Assembly-epsilon-p3,1.0,0.0
C5-e004Assembly-mBHI-p3,0.5,0.0
D10-e003Assembly-mGAM-p5,0.25,0.0
B2-e003Assembly-mBHI-p5,0.0,0.35
B2-e003Coalescence-mBHI-p5,0.25,0.0
B8-e003Assembly-mGAM-p5,0.75,0.58875
F4-e004Assembly-epsilon-p5,0.25,0.0
C4-e003Coalescence-mGAM-p7,0.25,0.0
B12-e003Coalescence-mBHI-p3,0.25,0.0
e004-inoculumn-fecal-AK,0.75,0.0
C8-e003Assembly-mGAM-p3,0.25,0.26775
C3-e003Coalescence-mGAM-p3,0.25,0.0
B4-e003Assembly-mBHI-p5,0.25,0.0
D4-e004Assembly-mGAM-p5,0.75,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.25,0.0
C8-e003Assembly-mGAM-p5,0.25,0.0
C3-e003Coalescence-mBHI-p7,0.25,0.0
D11-e003Coalescence-mGAM-p5,0.25,0.0
A11-e003Coalescence-mGAM-p7,0.25,0.047
B8-e003Coalescence-mBHI-p5,0.22425,0.0
B10-e003Assembly-mGAM-p5,0.25,0.0
C2-e003Coalescence-mGAM-p7,0.25,0.0
D3-e003Coalescence-mBHI-p5,0.25,0.0
B11-e003Coalescence-mGAM-p3,0.2415,0.0
C4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
B5-e003Assembly-mBHI-p5,0.0,0.0
D2-e003Coalescence-mBHI-p5,0.25,0.0
D8-e003Assembly-mGAM-p5,0.25,0.0
D5-e003Coalescence-mGAM-p5,0.25,0.0
B5-e003Coalescence-mBHI-p5,0.25,0.0
D5-e003Coalescence-mBHI-p7,0.25,0.0
C9-e003Coalescence-mBHI-p5,0.25,0.0
A5-e003Coalescence-mGAM-p3,0.25,0.0
A2-e003Coalescence-Inoculumn-mGAM,0.706,0.87525
E5-e004Assembly-mGAM-p5,0.9159999999999999,0.0
D8-e003Coalescence-mGAM-p5,0.25,0.0
A12-e003Coalescence-mGAM-p3,0.27575,0.02025
C2-e003Coalescence-mBHI-p3,0.0,0.0
C4-e004Assembly-mBHI-p5,0.25,0.0
D9-e003Coalescence-mGAM-p7,0.21575,0.0
D4-e003Coalescence-mBHI-p7,0.0,0.0
D8-e003Assembly-mGAM-p3,0.75,0.09375
E4-e004Assembly-mGAM-p7,0.75,0.0
E3-e004Assembly-mGAM-p3,0.75,0.0
D2-e004Assembly-mGAM-p3,0.75,0.0
B10-e003Coalescence-mGAM-p3,0.24525,0.0
A9-e003Coalescence-mGAM-p7,0.25,0.0
D5-e004Assembly-mGAM-p5,0.5,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.24425,0.0
D10-e003Coalescence-mBHI-p5,0.25,0.0
D5-e003Coalescence-mBHI-p3,0.25,0.0
D9-e003Coalescence-mGAM-p5,0.228,0.0
