,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,5.669544094044159e-05,0.9735701519213583
D11-e003Coalescence-mBHI-p5,0.022656010063766104,0.3270375335120643
C9-e003Coalescence-mGAM-p7,4.945126447750835e-05,0.9691689008042895
C8-e003Coalescence-mGAM-p7,0.8968875634407669,0.03424843610366399
F3-e004Assembly-epsilon-p3,0.7020119290330976,0.034405719392314564
B2-e003Coalescence-mBHI-p3,0.7776629939704162,0.13726899016979446
A8-e003Coalescence-mBHI-p3,0.9011361211122196,0.03585478105451296
e004-inoculumn-fecal-BD,0.8632146358391534,0.035674709562109025
A4-e003Coalescence-mBHI-p7,0.8600252027935626,0.029490616621983913
B9-e003Coalescence-mGAM-p5,4.9017481455775816e-05,0.9865951742627346
A4-e003Coalescence-mBHI-inoculumn-redo,0.8026141933804711,0.05307506702412869
B3-e003Coalescence-mBHI-p3,0.9512476901054093,0.04552100089365505
C2-e003Coalescence-mBHI-p5,0.6821742940181321,0.022626899016979445
B3-e004Assembly-mBHI-p7,0.8797667982475167,0.04069839142091153
B5-e004Assembly-mBHI-p7,0.009716739686808659,0.12109025915996426
C4-e003GlycerolRevival-mBHI-p2,0.018132130308419727,0.2033065236818588
G5-e004Assembly-epsilon-p3,0.02744887867088882,0.32684003574620196
B2-e003Assembly-mBHI-p5,0.8493992105149005,0.030075067024128682
C3-e004Assembly-mBHI-p5,0.8618633583481543,0.040214477211796246
B2-e003Coalescence-mBHI-p5,0.2502429618704724,0.49819302949061667
B8-e003Assembly-mGAM-p5,0.8608393267687503,0.03468319928507597
C4-e003Coalescence-mGAM-p7,0.020980609898928554,0.24754244861483468
e004-inoculumn-fecal-AK,0.025964473170520103,0.3449521894548704
D3-e004Assembly-mGAM-p7,0.6679459940137944,0.03257327971403039
C8-e003Assembly-mGAM-p3,0.9040086756604347,0.038259606791778374
C3-e003Coalescence-mGAM-p3,0.00019021385502971427,0.9988748882931189
D4-e004Assembly-mGAM-p5,0.8964087971196808,0.03615817694369973
D3-e003Coalescence-Inoculumn-mBHI,0.637185008458769,0.19248659517426273
C8-e003Assembly-mGAM-p5,0.6855088274844923,0.026723860589812333
C3-e003Coalescence-mBHI-p7,1.405456990413395e-05,0.984361036639857
D11-e003Coalescence-mGAM-p5,0.022297748666117206,0.3195554066130473
A11-e003Coalescence-mGAM-p7,0.8927392530256365,0.03807774798927614
C2-e003Coalescence-mGAM-p7,0.9046741421940746,0.03264924039320822
B11-e003Coalescence-mGAM-p3,2.0301045417082378e-05,0.9986595174262735
B5-e003Assembly-mBHI-p5,0.21102845616622565,0.10415773011617517
D2-e003Coalescence-mBHI-p5,0.7862431353836811,0.04742046470062555
D8-e003Assembly-mGAM-p5,0.8940482800503188,0.03479669347631814
D5-e003Coalescence-mGAM-p5,0.5563639005769314,0.11988739946380697
A5-e003Coalescence-mGAM-p3,0.8971926430399514,0.03663047363717605
A2-e003Coalescence-Inoculumn-mGAM,0.9043261614540407,0.037974530831099196
D8-e003Coalescence-mGAM-p5,0.901389059992192,0.035693029490616625
A12-e003Coalescence-mGAM-p3,0.8915324686591767,0.03912600536193029
C2-e003Coalescence-mBHI-p3,0.8927789007938229,0.03263806970509383
D9-e003Coalescence-mGAM-p7,0.00010055090443760031,0.9679137622877568
D8-e003Assembly-mGAM-p3,0.9042083893636403,0.03753842716711349
E4-e004Assembly-mGAM-p7,0.7508780635925909,0.03337801608579088
B10-e003Coalescence-mGAM-p3,1.1842276493298053e-05,0.9686514745308311
A9-e003Coalescence-mGAM-p7,0.0,0.3610366398570152
B5-e003Coalescence-Inoculumn-mGAM,0.01671678306511083,0.46730831099195713
D5-e003Coalescence-mBHI-p3,0.8021137812866003,0.05908981233243968
D9-e003Coalescence-mGAM-p5,0.007979525441374225,0.978987488829312
D10-e003Coalescence-mGAM-p5,0.2836791306988245,0.015608132260947273
C8-e003Coalescence-mBHI-p7,0.7743743981260572,0.02680965147453083
B11-e003Assembly-mGAM-p5,0.022079816075998786,0.31881143878462914
G3-e004Assembly-epsilon-p7,0.6659985685160282,0.035746201966041107
B4-e003Coalescence-mGAM-p5,0.006365765843924869,0.9348561215370865
D4-e003Coalescence-mGAM-p5,0.8693317572550211,0.04760545129579982
C3-e004Assembly-mBHI-p7,0.8884648852643908,0.041139857015192134
B5-e003Coalescence-mGAM-p5,0.6774002082158505,0.28125871313672923
BB-Fecal,0.6233897974233289,0.03517202859696157
B5-e003Coalescence-Inoculumn-mBHI,0.6342433956534941,0.16599731903485251
G3-e004Assembly-epsilon-p3,0.6987566911031101,0.03127792672028597
C2-e003Coalescence-mGAM-p3,0.5594208562876849,0.02208042895442359
B5-e003Coalescence-mGAM-p7,0.7434893940051186,0.23252502234137626
D8-e003Coalescence-mBHI-p5,0.4096327592938012,0.18223592493297588
F5-e004Assembly-epsilon-p5,0.012753220838936364,0.15750670241286863
D5-e003Coalescence-Inoculumn-mGAM,0.022771526482453477,0.3194687220732797
