,0.025,0.025
C9-e003Coalescence-mGAM-p3,0.0,0.0
D11-e003Coalescence-mBHI-p5,0.0,1.0
C9-e003Coalescence-mGAM-p7,0.0,0.0
C8-e003Coalescence-mGAM-p7,0.616325,0.0
F3-e004Assembly-epsilon-p3,0.0,0.0
B2-e003Coalescence-mBHI-p3,0.4,0.0
A8-e003Coalescence-mBHI-p3,0.7223750000000002,0.0
e004-inoculumn-fecal-BD,0.3090000000000001,0.0
A4-e003Coalescence-mBHI-p7,1.0,0.0
B9-e003Coalescence-mGAM-p5,0.0,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.49467500000000003,0.0
B3-e003Coalescence-mBHI-p3,0.0,0.0
C2-e003Coalescence-mBHI-p5,1.0,0.0
B3-e004Assembly-mBHI-p7,0.0,0.0
B5-e004Assembly-mBHI-p7,0.0,0.0
C4-e003GlycerolRevival-mBHI-p2,0.0,0.0
G5-e004Assembly-epsilon-p3,0.0,0.0
B2-e003Assembly-mBHI-p5,1.0,0.0
C3-e004Assembly-mBHI-p5,0.0,0.0
B2-e003Coalescence-mBHI-p5,0.0,0.0
B8-e003Assembly-mGAM-p5,1.0,0.0
C4-e003Coalescence-mGAM-p7,0.0,0.0
e004-inoculumn-fecal-AK,0.0,0.0
D3-e004Assembly-mGAM-p7,0.0,0.0
C8-e003Assembly-mGAM-p3,0.9406,0.0
C3-e003Coalescence-mGAM-p3,0.0,0.0
D4-e004Assembly-mGAM-p5,1.0,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.14300000000000002,0.0968
C8-e003Assembly-mGAM-p5,1.0,0.0
C3-e003Coalescence-mBHI-p7,0.0,0.0
D11-e003Coalescence-mGAM-p5,0.0,1.0
A11-e003Coalescence-mGAM-p7,0.895,0.0
C2-e003Coalescence-mGAM-p7,0.9741,0.0
B11-e003Coalescence-mGAM-p3,0.0,0.0
B5-e003Assembly-mBHI-p5,0.0,0.0
D2-e003Coalescence-mBHI-p5,0.625,0.0
D8-e003Assembly-mGAM-p5,0.8157000000000003,0.0
D5-e003Coalescence-mGAM-p5,0.28600000000000003,0.0
A5-e003Coalescence-mGAM-p3,0.857,0.0
A2-e003Coalescence-Inoculumn-mGAM,0.9010250000000001,0.0
D8-e003Coalescence-mGAM-p5,0.5910250000000001,0.0
A12-e003Coalescence-mGAM-p3,0.6438750000000001,0.0
C2-e003Coalescence-mBHI-p3,1.0,0.0
D9-e003Coalescence-mGAM-p7,0.0,0.0
D8-e003Assembly-mGAM-p3,0.9002,0.0
E4-e004Assembly-mGAM-p7,1.0,0.0
B10-e003Coalescence-mGAM-p3,0.0,0.0
A9-e003Coalescence-mGAM-p7,0.0,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.0,0.471
D5-e003Coalescence-mBHI-p3,0.583,0.0
D9-e003Coalescence-mGAM-p5,0.0,0.0
D10-e003Coalescence-mGAM-p5,0.07500000000000018,0.0
C8-e003Coalescence-mBHI-p7,1.0,0.0
B11-e003Assembly-mGAM-p5,0.0,1.0
G3-e004Assembly-epsilon-p7,0.0,0.0
B4-e003Coalescence-mGAM-p5,0.0,0.0
D4-e003Coalescence-mGAM-p5,0.7929,0.0
C3-e004Assembly-mBHI-p7,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0,0.0
BB-Fecal,0.42612500000000003,0.0
B5-e003Coalescence-Inoculumn-mBHI,0.1534,0.0
G3-e004Assembly-epsilon-p3,0.0,0.0
C2-e003Coalescence-mGAM-p3,0.7013499999999999,0.0
B5-e003Coalescence-mGAM-p7,0.0,0.0
D8-e003Coalescence-mBHI-p5,0.0,0.0
F5-e004Assembly-epsilon-p5,0.0,0.0
D5-e003Coalescence-Inoculumn-mGAM,0.0,1.0
B3-e004Assembly-mBHI-p5,0.0,0.0
B5-e003Coalescence-mBHI-p3,0.0,0.0
C5-e003Coalescence-mGAM-p7,0.92505,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.2
A2-e003Coalescence-mBHI-p7,1.0,0.0
A10-e003Coalescence-mBHI-p5,1.0,0.0
BF-Fecal,0.09429999999999998,0.0
AM-Fecal,0.0,0.0
B8-e003Assembly-mGAM-p3,0.9098,0.0
