,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.3333333333333333,
C9-e003Coalescence-mGAM-p3,0.3333333333333333,
D2-e004Assembly-mGAM-p7,0.6666666666666666,
C11-e003Coalescence-mBHI-p3,0.3333333333333333,
D11-e003Coalescence-mBHI-p5,0.3333333333333333,
C9-e003Coalescence-mGAM-p7,0.3333333333333333,
C8-e003Coalescence-mGAM-p7,0.3333333333333333,
D10-e003Coalescence-mBHI-p3,0.3333333333333333,
F3-e004Assembly-epsilon-p3,1.0,
B2-e003Coalescence-mBHI-p3,0.0,
A8-e003Coalescence-mBHI-p3,0.0,
e004-inoculumn-fecal-BD,0.6666666666666666,
A4-e003Coalescence-mBHI-p7,0.0,
B4-e003Coalescence-mBHI-p5,0.3333333333333333,
B9-e003Coalescence-mGAM-p5,0.3333333333333333,
A4-e003Coalescence-mBHI-inoculumn-redo,0.0,
B3-e003Coalescence-mBHI-p3,0.3333333333333333,
D4-e003Coalescence-mBHI-p5,0.3333333333333333,
C2-e003Coalescence-mBHI-p5,0.0,
B3-e004Assembly-mBHI-p7,1.0,
D4-e003Coalescence-mBHI-p3,0.3333333333333333,
C4-e003GlycerolRevival-mBHI-p2,0.3333333333333333,
D10-e003Assembly-mGAM-p5,0.0,
B2-e003Assembly-mBHI-p5,0.0,
C3-e004Assembly-mBHI-p5,1.0,
B2-e003Coalescence-mBHI-p5,0.3333333333333333,
B8-e003Assembly-mGAM-p5,0.0,
F4-e004Assembly-epsilon-p5,0.3333333333333333,
C4-e003Coalescence-mGAM-p7,0.3333333333333333,
B12-e003Coalescence-mBHI-p3,0.3333333333333333,
D3-e004Assembly-mGAM-p7,1.0,
C8-e003Assembly-mGAM-p3,0.0,
C3-e003Coalescence-mGAM-p3,0.3333333333333333,
B4-e003Assembly-mBHI-p5,0.3333333333333333,
D4-e004Assembly-mGAM-p5,0.0,
D3-e003Coalescence-Inoculumn-mBHI,0.3333333333333333,
