,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,,0.829
C9-e003Coalescence-mGAM-p3,,0.9929863350222644
D2-e004Assembly-mGAM-p7,,0.041970596292087874
C11-e003Coalescence-mBHI-p3,,0.83
D11-e003Coalescence-mBHI-p5,,0.9984405574011066
C9-e003Coalescence-mGAM-p7,,0.9942735545685756
C8-e003Coalescence-mGAM-p7,,0.41500000000000004
D10-e003Coalescence-mBHI-p3,,0.753
F3-e004Assembly-epsilon-p3,,0.002204018448802532
B2-e003Coalescence-mBHI-p3,,0.484
A8-e003Coalescence-mBHI-p3,,0.9986572730288069
e004-inoculumn-fecal-BD,,0.0005468854897539987
A4-e003Coalescence-mBHI-p7,,0.5349999999999999
B4-e003Coalescence-mBHI-p5,,0.42900000000000005
B9-e003Coalescence-mGAM-p5,,0.9981590746099988
A4-e003Coalescence-mBHI-inoculumn-redo,,0.43500000000000005
B3-e003Coalescence-mBHI-p3,,0.385
D4-e003Coalescence-mBHI-p5,,0.685
C2-e003Coalescence-mBHI-p5,,0.20199999999999996
B3-e004Assembly-mBHI-p7,,0.0030863457141497835
D4-e003Coalescence-mBHI-p3,,0.5905
C4-e003GlycerolRevival-mBHI-p2,,0.30000000000000004
D10-e003Assembly-mGAM-p5,,0.41200000000000003
B2-e003Assembly-mBHI-p5,,0.9842317193561483
C3-e004Assembly-mBHI-p5,,0.0034726021300577293
B2-e003Coalescence-mBHI-p5,,0.21799999999999997
B8-e003Assembly-mGAM-p5,,0.9711108737116079
F4-e004Assembly-epsilon-p5,,0.008029848107212759
C4-e003Coalescence-mGAM-p7,,0.32899999999999996
B12-e003Coalescence-mBHI-p3,,0.995765602246057
D3-e004Assembly-mGAM-p7,,0.013137742326498059
C8-e003Assembly-mGAM-p3,,0.9868726730620049
C3-e003Coalescence-mGAM-p3,,0.40700000000000003
B4-e003Assembly-mBHI-p5,,0.16500000000000004
D4-e004Assembly-mGAM-p5,,0.9839645002174822
D3-e003Coalescence-Inoculumn-mBHI,,0.41700000000000004
C8-e003Assembly-mGAM-p5,,0.9482433890399027
C3-e003Coalescence-mBHI-p7,,0.355
D11-e003Coalescence-mGAM-p5,,0.9996543752650889
A11-e003Coalescence-mGAM-p7,,0.9986925952185048
B8-e003Coalescence-mBHI-p5,,0.985
B10-e003Assembly-mGAM-p5,,0.581
C2-e003Coalescence-mGAM-p7,,0.17650000000000002
D3-e003Coalescence-mBHI-p5,,0.562
B11-e003Coalescence-mGAM-p3,,0.9989476883891456
C4-e003Coalescence-mBHI-inoculumn-redo,,0.133
B5-e003Assembly-mBHI-p5,,0.839
D2-e003Coalescence-mBHI-p5,,0.9962209298571348
D8-e003Assembly-mGAM-p5,,0.9683920234944089
D5-e003Coalescence-mGAM-p5,,0.9955485416860052
B5-e003Coalescence-mBHI-p5,,0.5680000000000001
D5-e003Coalescence-mBHI-p7,,0.918
C9-e003Coalescence-mBHI-p5,,0.758
A10-e003Coalescence-mBHI-p3,,0.473
A5-e003Coalescence-mGAM-p3,,0.9910803752733337
