,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
B2-e003Coalescence-mBHI-p3,0,0
A8-e003Coalescence-mBHI-p3,0,0
A4-e003Coalescence-mBHI-inoculumn-redo,0,0
B8-e003Coalescence-mBHI-p5,0,0
C2-e003Coalescence-mGAM-p7,0,0
D8-e003Assembly-mGAM-p5,0,0
A2-e003Coalescence-Inoculumn-mGAM,0,0
A2-e003Coalescence-mBHI-p7,0,0
D5-e003Coalescence-mBHI-p5,0,0
A8-e003Coalescence-mBHI-p7,0,0
B4-e004Assembly-mBHI-p5,0,0
A9-e003Coalescence-mBHI-p3,0,0
A2-e003Coalescence-Inoculumn-mBHI,0,0
D2-e003Assembly-mBHI-p3,0,0
A8-e003Coalescence-mBHI-p5,0,0
C2-e003Assembly-mBHI-p5,0,0
A5-e003Coalescence-mBHI-inoculumn-redo,0,0
D2-e003Assembly-mBHI-p5,0,0
A2-e003Coalescence-mGAM-p7,0,0
D2-e003Coalescence-Inoculumn-mBHI,0,0
A10-e003Coalescence-mGAM-p7,0,0
B2-e003Assembly-mBHI-p3,0,0
A2-e003Coalescence-mGAM-p5,0,0
A2-e003Coalescence-mBHI-p3,0,0
C2-e003Coalescence-mBHI-inoculumn-redo,0,0
A8-e003Coalescence-mGAM-p7,0,0
B2-e003Coalescence-Inoculumn-mBHI,0,0
A3-e003Coalescence-mBHI-p3,0,0
AG-Fecal,0,0
A2-e003Coalescence-mBHI-p5,0,0
BK-Fecal,0,0
A2-e003Coalescence-mBHI-inoculumn-redo,0,0
A11-e003Coalescence-mBHI-p3,0,0
A4-e003Coalescence-Inoculumn-mGAM,0,0
A11-e003Coalescence-mGAM-p3,0,0
D2-e003Coalescence-mBHI-p3,0,0
E2-e003Coalescence-mGAM-p7_S145,0,0
F8-e003Coalescence-mBHI-p3_S117,0,0
E5-e003Coalescence-mBHI-p3_S12,0,0
E8-e003Coalescence-mBHI-p5_S5,0,0
H2-e003Coalescence-mGAM-p7_S181,0,0
E5-e003Coalescence-mBHI-p7_S100,0,0
E5-e003Coalescence-mBHI-p5_S4,0,0
H8-e003Coalescence-mBHI-p7_S137,0,0
E2-e003Coalescence-mBHI-p5_S1,0,0
E2-e003Coalescence-mBHI-p3_S9,0,0
H2-e003Coalescence-mBHI-p3_S45,0,0
E8-e003Coalescence-mBHI-p7_S101,0,0
H2-e003Coalescence-mGAM-p3_S93,0,0
H8-e003Coalescence-mBHI-p5_S41,0,0
E2-e003Coalescence-mBHI-p7_S97,0,0
E5-e003Coalescence-mGAM-p7_S148,0,0
E8-e003Coalescence-mGAM-p5_S53,0,0
H8-e003Coalescence-mGAM-p5_S89,0,0
G100-e003Coalescence-mBHI-p3_S131,0,0
E9-e003Coalescence-mGAM-p3_S154,0,0
E3-e003Coalescence-mBHI-p5_S2,0,0
E111-e003Coalescence-mBHI-p7_S104,0,0
E2-e003Coalescence-mGAM-p3_S57,0,0
E4-e003Coalescence-mGAM-p7_S147,0,0
E2-e003Coalescence-mGAM-p5_S49,0,0
E8-e003Coalescence-mBHI-p3_S105,0,0
E8-e003Coalescence-mGAM-p7_S149,0,0
H8-e003Coalescence-mGAM-p7_S185,0,0
G2-e003Coalescence-mGAM-p3_S81,0,0
F8-e003Coalescence-mBHI-p5_S17,0,0
E5-e003Coalescence-mGAM-p5_S52,0,0
