,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
D11-e003Coalescence-mBHI-p5,0.37127126304544333,0.0
F3-e004Assembly-epsilon-p3,0.7910263785027529,0.5703564727954972
e004-inoculumn-fecal-BD,0.3377434464623223,0.2584788569779189
D3-e003Coalescence-Inoculumn-mBHI,8.217602103706138e-05,0.4143455044017896
D11-e003Coalescence-mGAM-p5,0.9868518366340702,0.0
A11-e003Coalescence-mGAM-p7,0.9957268469060728,0.0
B11-e003Coalescence-mGAM-p3,0.9861944284657737,0.0
D8-e003Coalescence-mGAM-p5,0.9969594872216287,0.0
A12-e003Coalescence-mGAM-p3,0.9981921275371847,0.0
D9-e003Coalescence-mGAM-p7,0.9944120305694798,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.9980277754951106,0.0
D9-e003Coalescence-mGAM-p5,0.9971238392637028,0.0
D10-e003Coalescence-mGAM-p5,0.9980277754951106,0.0
B11-e003Assembly-mGAM-p5,0.9984386556002959,0.0
G3-e004Assembly-epsilon-p7,0.7970252280384584,0.5686246211574542
C3-e004Assembly-mBHI-p7,0.8189662256553538,0.5872420262664165
G3-e004Assembly-epsilon-p3,0.8024488454269044,0.5756963486794632
D8-e003Coalescence-mBHI-p5,0.9233297723724218,0.0
D5-e003Coalescence-Inoculumn-mGAM,0.9907962856438491,0.0
BF-Fecal,0.325252691264689,0.6094674556213018
AM-Fecal,0.7021119237406525,0.3761004473950065
B12-e003Coalescence-mGAM-p3,0.9989317117265182,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.9995670370904892
C11-e003Coalescence-mGAM-p5,0.9956446708850357,0.0
D9-e003Coalescence-mGAM-p3,0.995973374969184,0.0
D3-e003Coalescence-mGAM-p5,8.217602103706138e-05,0.2942704574974744
B11-e003Assembly-mGAM-p3,0.9595693976497658,0.0
B11-e003Coalescence-mGAM-p7,0.9983564795792588,0.0
D4-e003Coalescence-Inoculumn-mBHI,0.0,0.41073748015586664
D10-e003Coalescence-mGAM-p7,0.9983564795792588,0.0
C12-e003Coalescence-mGAM-p3,0.9987673596844441,0.0
C11-e003Coalescence-mGAM-p3,0.991946749938368,0.0
D10-e003Coalescence-mGAM-p3,0.9941655025063686,0.0
D11-e003Coalescence-mGAM-p7,0.9943298545484428,0.0
B11-e003GlycerolRevival-mGAM-p2,0.9985208316213329,0.0
C11-e003Coalescence-mGAM-p7,0.9953159668008875,0.0
A5-e003Coalescence-Inoculumn-mGAM,0.9977812474319994,0.0
D4-e003Coalescence-Inoculumn-mGAM,0.9881666529706632,0.0
e004-inoculumn-fecal-AR,0.8307173966636535,0.5953240005772839
F3-e004Assembly-epsilon-p5,0.6692415153258279,0.4818877182854669
D2-e003Coalescence-Inoculumn-mGAM,0.99720601528474,0.0
D3-e003Coalescence-Inoculumn-mGAM,0.9954803188429616,0.0
C5-e003Coalescence-Inoculumn-mGAM,0.9970416632426657,0.0
G3-e004Assembly-epsilon-p5,0.7745089982743035,0.5511617838071872
BC-Fecal,0.5107239707453365,0.715543368451436
e003-inoculumn-fecal-AF,0.0009039362314076753,0.8455765622744985
A11-e003Coalescence-mBHI-p3,0.9816747473087353,0.0
F3-e004Assembly-epsilon-p7,0.8223354425178733,0.5886852359647857
A11-e003Coalescence-mGAM-p3,0.9927685101487386,0.0
H111-e003Coalescence-mGAM-p7_S188,0.9967951351795546,0.0
F5-e003Coalescence-mGAM-p5_S64,8.217602103706138e-05,0.37350266993794196
E111-e003Coalescence-mGAM-p7_S152,0.6850193113649438,0.0
H111-e003Coalescence-mBHI-p3_S144,0.9983564795792588,0.0
G111-e003Coalescence-mGAM-p5_S80,0.9961377270112581,0.0
F111-e003Coalescence-mGAM-p5_S68,0.9965486071164434,0.0
H9-e003Coalescence-mGAM-p3_S190,0.9979455994740735,0.0
G111-e003Coalescence-mGAM-p7_S176,0.8598077081107732,0.0
H100-e003Coalescence-mGAM-p7_S187,0.9983564795792588,0.0
F5-e003Coalescence-mGAM-p3_S72,0.0,0.3258767498917593
F111-e003Coalescence-mGAM-p7_S164,0.9969594872216287,0.0
E111-e003Coalescence-mBHI-p5_S8,0.7562659216040759,0.0
E111-e003Coalescence-mBHI-p3_S108,0.32402005094913305,0.0
H111-e003Coalescence-mGAM-p5_S92,0.9905497575807379,0.0
H9-e003Coalescence-mGAM-p5_S90,0.9981099515161476,0.0
H2-e003Coalescence-mGAM-p3_S93,0.0,0.2668494732284601
G111-e003Coalescence-mGAM-p3_S180,0.998685183663407,0.0
H8-e003Coalescence-mBHI-p5_S41,0.32853973210617143,0.0
H9-e003Coalescence-mGAM-p7_S186,0.9983564795792588,0.0
H8-e003Coalescence-mGAM-p5_S89,0.9913715177911085,0.0
F111-e003Coalescence-mGAM-p3_S168,0.9957268469060728,0.0
H111-e003Coalescence-mBHI-p5_S44,0.37800969677048235,0.0
E111-e003Coalescence-mBHI-p7_S104,0.9950694387377763,0.0
E111-e003Coalescence-mGAM-p5_S56,0.9937546224011833,0.0
H100-e003Coalescence-mGAM-p5_S91,0.99860300764237,0.0
H111-e003Coalescence-mGAM-p3_S192,0.9925219820856274,0.0
H8-e003Coalescence-mGAM-p7_S185,0.9908784616648861,0.0
