,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.0,1.0
B3-e003Coalescence-Inoculumn-mBHI,0.998852835136021,0.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.22517207472959685,0.04462474645030426
A3-e003Coalescence-mBHI-p3,0.9890199934447722,0.0
A3-e003Coalescence-mGAM-p7,0.0,0.5225659229208925
B2-e003Coalescence-Inoculumn-mBHI,0.13929859062602426,0.010141987829614604
B2-e003Coalescence-mBHI-p3,0.9765650606358571,0.0
B2-e003Coalescence-mBHI-p5,0.49918059652572927,0.0
B2-e003Coalescence-mGAM-p3,0.00016388069485414618,0.7213488843813387
E3-e003Coalescence-mBHI-p3_S10,0.9891838741396264,0.0
E3-e003Coalescence-mBHI-p5_S2,0.7862995739101933,0.0
E3-e003Coalescence-mGAM-p3_S58,0.0,0.643762677484787
E3-e003Coalescence-mGAM-p5_S50,0.010652245165519502,0.06643002028397565
E3-e003Coalescence-mGAM-p7_S146,0.9437889216650278,0.0
F2-e003Coalescence-mBHI-p3_S21,0.9844313339888561,0.0
F2-e003Coalescence-mBHI-p5_S13,0.9883644706653556,0.0
F2-e003Coalescence-mGAM-p3_S69,0.0,0.9662778904665315
F2-e003Coalescence-mGAM-p5_S61,0.0,0.9639959432048681
