,0
C12-e003Coalescence-mBHI-p3,4.0
C9-e003Coalescence-mGAM-p3,10.0
C11-e003Coalescence-mBHI-p3,5.0
C9-e003Coalescence-mGAM-p7,9.0
C8-e003Coalescence-mGAM-p7,6.0
D10-e003Coalescence-mBHI-p3,7.0
F3-e004Assembly-epsilon-p3,15.0
B2-e003Coalescence-mBHI-p3,4.0
A4-e003Coalescence-mBHI-p7,5.0
B9-e003Coalescence-mGAM-p5,11.0
A4-e003Coalescence-mBHI-inoculumn-redo,11.0
B3-e003Coalescence-mBHI-p3,25.0
D4-e003Coalescence-mBHI-p5,5.0
C2-e003Coalescence-mBHI-p5,6.0
B3-e004Assembly-mBHI-p7,6.0
D4-e003Coalescence-mBHI-p3,7.0
C4-e003GlycerolRevival-mBHI-p2,11.0
D10-e003Assembly-mGAM-p5,5.0
C3-e004Assembly-mBHI-p5,5.0
C4-e003Coalescence-mGAM-p7,4.0
B12-e003Coalescence-mBHI-p3,4.0
D3-e004Assembly-mGAM-p7,45.0
C3-e003Coalescence-mGAM-p3,4.0
B4-e003Assembly-mBHI-p5,4.0
D3-e003Coalescence-Inoculumn-mBHI,5.0
C3-e003Coalescence-mBHI-p7,30.0
B8-e003Coalescence-mBHI-p5,16.0
B10-e003Assembly-mGAM-p5,4.0
C2-e003Coalescence-mGAM-p7,10.0
D3-e003Coalescence-mBHI-p5,4.0
B11-e003Coalescence-mGAM-p3,21.0
C4-e003Coalescence-mBHI-inoculumn-redo,6.0
B5-e003Coalescence-mBHI-p5,4.0
D5-e003Coalescence-mBHI-p7,16.0
C9-e003Coalescence-mBHI-p5,9.0
A10-e003Coalescence-mBHI-p3,3.0
C2-e003Coalescence-mBHI-p3,19.0
D9-e003Coalescence-mGAM-p7,9.0
D4-e003Coalescence-mBHI-p7,7.0
E3-e004Assembly-mGAM-p3,10.0
B10-e003Coalescence-mGAM-p3,7.0
A9-e003Coalescence-mGAM-p7,4.0
B5-e003Coalescence-Inoculumn-mGAM,6.0
D10-e003Coalescence-mBHI-p5,4.0
D5-e003Coalescence-mBHI-p3,8.0
C5-e003Coalescence-mBHI-p3,4.0
D9-e003Coalescence-mGAM-p5,18.0
C9-e003Coalescence-mBHI-p3,14.0
D10-e003Coalescence-mGAM-p5,16.0
C8-e003Coalescence-mBHI-p7,7.0
G3-e004Assembly-epsilon-p7,11.0
B4-e003Coalescence-mGAM-p5,4.0
D4-e003Coalescence-mGAM-p5,12.0
C3-e004Assembly-mBHI-p7,9.0
B5-e003Coalescence-mGAM-p5,14.0
B5-e003Coalescence-Inoculumn-mBHI,4.0
G3-e004Assembly-epsilon-p3,20.0
C2-e003Coalescence-mGAM-p3,4.0
B5-e003Coalescence-mGAM-p7,5.0
B10-e003Coalescence-mBHI-p5,9.0
B3-e004Assembly-mBHI-p5,5.0
B5-e003Coalescence-mBHI-p3,6.0
C4-e003Coalescence-mGAM-p5,4.0
C5-e003Coalescence-mGAM-p7,5.0
C5-e003Coalescence-mBHI-inoculumn-redo,12.0
A10-e003Coalescence-mBHI-p5,5.0
BF-Fecal,4.0
AM-Fecal,9.0
A4-e003Coalescence-mGAM-p5,22.0
D5-e003Coalescence-mBHI-p5,34.0
D4-e003Coalescence-mGAM-p7,19.0
e003-inoculumn-fecal-AC,4.0
E3-e004Assembly-mGAM-p7,8.0
B9-e003GlycerolRevival-mGAM-p2,4.0
