,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,0.999890590809628,0.0001368
C4-e003Coalescence-Inoculumn-mGAM,0.09780875273522975,0.9995200000000001
B10-e003Coalescence-mBHI-p3,0.4015356673960613,0.3609424
B10-e003Coalescence-mBHI-p5,0.7858284463894967,0.1001596
B10-e003Coalescence-mGAM-p3,0.38667789934354485,0.39587799999999995
B4-e003Coalescence-Inoculumn-mGAM,0.7472752735229758,0.2217112
C3-e003Coalescence-Inoculumn-mGAM,0.7461645514223194,0.1854212
C9-e003Coalescence-mBHI-p3,0.7028245076586433,0.2976984
C9-e003Coalescence-mBHI-p5,0.7429772428884026,0.1418636
C9-e003Coalescence-mBHI-p7,0.4933172866520788,0.021059200000000004
C9-e003Coalescence-mGAM-p3,0.7578157549234136,0.1589324
C9-e003Coalescence-mGAM-p5,0.7847286652078774,0.028641600000000007
C9-e003Coalescence-mGAM-p7,0.7595444201312911,0.11922040000000002
F100-e003Coalescence-mBHI-p7_S115,0.8934446389496717,0.09664199999999999
F100-e003Coalescence-mGAM-p3_S167,0.7436577680525164,0.006408799999999999
F100-e003Coalescence-mGAM-p7_S163,0.7394551422319474,0.0873516
G9-e003Coalescence-mBHI-p3_S130,0.6531413566739606,0.1362872
G9-e003Coalescence-mBHI-p5_S30,0.9407400437636763,0.031726
G9-e003Coalescence-mGAM-p3_S178,0.7736083150984683,0.21399920000000003
G9-e003Coalescence-mGAM-p5_S78,0.28124332603938734,0.03446559999999999
G9-e003Coalescence-mGAM-p7_S174,0.538057330415755,0.1508176
