,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,0.0,0.9984255202628697
B3-e003Coalescence-Inoculumn-mGAM,0.9965705378020265,0.0
A3-e003Coalescence-Inoculumn-mGAM,0.09454403741231489,0.035528477546549836
A9-e003Coalescence-mBHI-p3,0.9406079501169134,0.0
A9-e003Coalescence-mBHI-p5,0.8140296180826189,0.0
A9-e003Coalescence-mBHI-p7,0.9963367108339829,0.0
A9-e003Coalescence-mGAM-p5,0.9947778643803585,0.0
A9-e003Coalescence-mGAM-p7,0.9784879189399844,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.01652377240841777,0.001848302300109529
B8-e003Coalescence-mBHI-p5,0.6697583787996882,0.0
B8-e003Coalescence-mBHI-p7,0.9946999220576773,0.0
B8-e003Coalescence-mGAM-p5,0.9888542478565862,0.0
B8-e003Coalescence-mGAM-p7,0.9941543257989088,0.0
E9-e003Coalescence-mBHI-p5_S6,0.9943881527669525,0.0
E9-e003Coalescence-mBHI-p7_S102,0.5470771628994544,0.0
E9-e003Coalescence-mGAM-p3_S154,0.5602494154325799,0.0
E9-e003Coalescence-mGAM-p5_S54,0.9699142634450507,0.0
F8-e003Coalescence-mBHI-p3_S117,0.9666406858924396,0.0
F8-e003Coalescence-mBHI-p5_S17,0.9898674980514419,0.0
F8-e003Coalescence-mBHI-p7_S113,0.9770070148090413,0.0
F8-e003Coalescence-mGAM-p5_S65,0.9808261886204209,0.0
F8-e003Coalescence-mGAM-p7_S161,0.9607170693686672,0.0
