,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,0.9995959244164506,0.000342296511627907
D5-e003Coalescence-Inoculumn-mBHI,0.0009155983697665802,0.9977377774841437
B5-e003Coalescence-Inoculumn-mBHI,0.5112596517228604,0.46153065539112054
B5-e003Coalescence-mBHI-p3,0.010843719896257873,0.9827496696617336
B5-e003Coalescence-mBHI-p5,0.004079140422378658,0.9857789376321353
B5-e003Coalescence-mBHI-p7,0.0008296406076324565,0.9951638477801268
B5-e003Coalescence-mGAM-p3,0.25556146721007783,0.6993113768498943
B5-e003Coalescence-mGAM-p5,0.08919836976658022,0.8944015591966173
B5-e003Coalescence-mGAM-p7,0.11750900333456836,0.8374341305496829
D3-e003Coalescence-Inoculumn-mBHI,0.5230302334197852,0.452316794397463
D3-e003Coalescence-mBHI-p5,0.005074472026676546,0.988239495243129
D3-e003Coalescence-mBHI-p7,0.000935309373842164,0.9967801929175476
D3-e003Coalescence-mGAM-p3,0.36246713597628755,0.6004352536997885
D3-e003Coalescence-mGAM-p5,0.31109514635050023,0.669723506871036
F5-e003Coalescence-mBHI-p3_S24,0.00460644683216006,0.9804996035940803
F5-e003Coalescence-mBHI-p5_S16,0.001006817339755465,0.9758500924947147
F5-e003Coalescence-mBHI-p7_S112,0.004752056317154501,0.978318974630021
F5-e003Coalescence-mGAM-p3_S72,0.48200155613190065,0.43872529069767446
F5-e003Coalescence-mGAM-p5_S64,0.12761956280103742,0.8500185650105708
F5-e003Coalescence-mGAM-p7_S160,0.06185394590589108,0.9087191464059197
H3-e003Coalescence-mBHI-p3_S46,0.005569173768062246,0.9811211680761099
H3-e003Coalescence-mBHI-p5_S38,0.0013236754353464246,0.9880385835095137
H3-e003Coalescence-mBHI-p7_S134,0.0010232678769914781,0.9827410147991543
H3-e003Coalescence-mGAM-p3_S94,0.22976324564653575,0.7210578091966173
H3-e003Coalescence-mGAM-p5_S86,0.29646394961096706,0.6717456395348836
H3-e003Coalescence-mGAM-p7_S182,0.3004281585772508,0.6712237711416491
