,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.9998314903252552,5.575597134942781e-05
B3-e003Coalescence-Inoculumn-mBHI,2.506523698331644e-05,0.999915183585579
A3-e003Coalescence-mBHI-inoculumn-redo,0.348,0.611
A3-e003Coalescence-mBHI-p3,0.893,0.089
A3-e003Coalescence-mBHI-p7,0.031000000000000028,0.963
B2-e003Coalescence-Inoculumn-mBHI,0.333,0.6
B2-e003Coalescence-mBHI-p3,0.854,0.12
B2-e003Coalescence-mBHI-p5,0.893,0.088
B2-e003Coalescence-mBHI-p7,0.875,0.10499999999999998
B2-e003Coalescence-mGAM-p3,0.24,0.726
E3-e003Coalescence-mBHI-p3_S10,0.855,0.115
E3-e003Coalescence-mBHI-p5_S2,0.947,0.04
E3-e003Coalescence-mGAM-p3_S58,0.229,0.724
E3-e003Coalescence-mGAM-p5_S50,0.147,0.816
E3-e003Coalescence-mGAM-p7_S146,0.052,0.929
F2-e003Coalescence-mBHI-p3_S21,0.908,0.07
F2-e003Coalescence-mBHI-p5_S13,0.927,0.057
F2-e003Coalescence-mGAM-p5_S61,0.028627374013643625,0.9580783359117091
F2-e003Coalescence-mGAM-p7_S157,0.051000000000000045,0.933
