,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.9986403653677971,0.0003364238410596027
B3-e003Coalescence-Inoculumn-mBHI,0.00015625303663395205,0.9994586856851757
A3-e003Coalescence-mBHI-inoculumn-redo,0.34612875327956466,0.6001158430973002
A3-e003Coalescence-mBHI-p3,0.884431736468759,0.09220163015792156
A3-e003Coalescence-mBHI-p7,0.03567903993780975,0.9515454915944982
B2-e003Coalescence-Inoculumn-mBHI,0.28791040715188027,0.5528371879775853
B2-e003Coalescence-mBHI-p3,0.8443499174035565,0.12220866021395824
B2-e003Coalescence-mBHI-p5,0.8826037314158002,0.09266225165562914
B2-e003Coalescence-mBHI-p7,0.8546533864541834,0.10647885888945491
B2-e003Coalescence-mGAM-p3,0.24080895928481197,0.7165053489556802
E3-e003Coalescence-mBHI-p3_S10,0.8195861432319503,0.1173113601630158
E3-e003Coalescence-mBHI-p5_S2,0.9110453794577787,0.042512786551197154
E3-e003Coalescence-mGAM-p3_S58,0.23017947721309884,0.7073403973509934
E3-e003Coalescence-mGAM-p5_S50,0.1513400058303372,0.7956152827305145
E3-e003Coalescence-mGAM-p7_S146,0.055043047322903514,0.896899133978604
F2-e003Coalescence-mBHI-p3_S21,0.8750197259741521,0.07146102903718797
F2-e003Coalescence-mBHI-p5_S13,0.8900855116120882,0.058433622007131945
F2-e003Coalescence-mGAM-p5_S61,0.04867184918861141,0.7591471217524197
F2-e003Coalescence-mGAM-p7_S157,0.05382965698182878,0.9001872643912379
