,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.9985889347245813,0.0002589558232931727
D5-e003Coalescence-Inoculumn-mBHI,0.0052943460325163795,0.8606803212851406
A5-e003Coalescence-Inoculumn-mBHI,0.434481800533851,0.4560673092369478
A5-e003Coalescence-mBHI-inoculumn-redo,0.455935695219607,0.46706184738955825
A5-e003Coalescence-mBHI-p3,0.14815445280271777,0.29332176706827306
A5-e003Coalescence-mBHI-p7,0.05000376122300413,0.2543614457831325
A5-e003Coalescence-mGAM-p3,0.08641603979616598,0.5749228915662651
D2-e003Coalescence-Inoculumn-mBHI,0.4519808298956564,0.453567389558233
D2-e003Coalescence-mBHI-p3,0.24448738170347004,0.3743579116465864
D2-e003Coalescence-mBHI-p5,0.08477917981072557,0.10293734939759037
D2-e003Coalescence-mGAM-p5,0.06570286338267413,0.7754078714859439
E5-e003Coalescence-mBHI-p3_S12,0.17171620965785,0.4024070682730924
E5-e003Coalescence-mBHI-p5_S4,0.08575309390924532,0.2425032931726908
E5-e003Coalescence-mBHI-p7_S100,0.05764935695219608,0.1551677108433735
E5-e003Coalescence-mGAM-p7_S148,0.05000922106284884,0.7851455421686747
H2-e003Coalescence-mBHI-p3_S45,0.0852862169376365,0.15338586345381527
H2-e003Coalescence-mBHI-p7_S133,0.07594867750545983,0.22757204819277108
H2-e003Coalescence-mGAM-p3_S93,0.10560313030817763,0.6536677911646586
H2-e003Coalescence-mGAM-p5_S85,0.021266682843969906,0.7252252208835341
H2-e003Coalescence-mGAM-p7_S181,0.024377214268381468,0.8042745381526104
