,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C4-e003Coalescence-Inoculumn-mGAM,0.9997790524155941,0.0001578331382711921
D5-e003Coalescence-Inoculumn-mGAM,0.00015892557358701737,0.9998209329543555
C11-e003Coalescence-mBHI-p3,0.7134761238574894,0.24662915900351112
C11-e003Coalescence-mBHI-p5,0.6995332960268608,0.28613492726968737
C11-e003Coalescence-mGAM-p3,0.0374060809550457,0.9592519645544223
C11-e003Coalescence-mGAM-p5,0.015284928185040104,0.9577640862731985
C11-e003Coalescence-mGAM-p7,0.02165249020705092,0.8774109680655409
C5-e003Coalescence-Inoculumn-mGAM,0.5867960268606603,0.39407055676308306
D10-e003Coalescence-mBHI-p3,0.6052368028352919,0.37522253803711747
D10-e003Coalescence-mBHI-p5,0.5006986569669838,0.4204980772446079
D10-e003Coalescence-mBHI-p7,0.5681621898899459,0.3986156161177061
D10-e003Coalescence-mGAM-p3,0.06070406640552135,0.49172897508777796
D10-e003Coalescence-mGAM-p5,0.009708543182242119,0.9855724795184752
D10-e003Coalescence-mGAM-p7,0.019114810669651185,0.9679036950342751
D4-e003Coalescence-Inoculumn-mGAM,0.5656954859168064,0.33162464470824277
G111-e003Coalescence-mBHI-p5_S32,0.608813467636635,0.36481324193278714
G111-e003Coalescence-mBHI-p7_S128,0.7426648013430329,0.21540578498578836
G111-e003Coalescence-mGAM-p3_S180,0.022667319529938442,0.9414293596388564
G111-e003Coalescence-mGAM-p5_S80,0.014987315799291176,0.9492989466644374
H100-e003Coalescence-mBHI-p5_S43,0.5343988994590562,0.43969770941314157
H100-e003Coalescence-mBHI-p7_S139,0.6775263943294162,0.29401906035779973
