,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-mBHI-inoculumn-redo,1.0,0.00013796544626707414
C4-e003Coalescence-mBHI-inoculumn-redo,0.00016938178780284043,0.9955605937753383
A4-e003Coalescence-mBHI-inoculumn-redo,0.058470029239766096,0.915862096925092
A4-e003Coalescence-mBHI-p3,0.00034816207184628235,0.010099482317719705
A4-e003Coalescence-mBHI-p5,0.00023088972431077698,0.0012859726813447265
A4-e003Coalescence-mBHI-p7,0.00028049289891395155,0.00041701490675481826
A4-e003Coalescence-mGAM-p5,0.43832863408521305,0.10953801534335433
C2-e003Coalescence-mBHI-inoculumn-redo,0.05423224728487886,0.9184315474334186
C2-e003Coalescence-mBHI-p3,0.005300229741019214,0.5247378531778208
C2-e003Coalescence-mBHI-p5,0.0006288638262322473,0.0013782199214120877
C2-e003Coalescence-mGAM-p3,0.0001363826232247285,0.9671932888417638
C2-e003Coalescence-mGAM-p5,0.0001697994987468672,0.9957298696438596
C2-e003Coalescence-mGAM-p7,0.00018483709273182963,0.9964325453751637
E4-e003Coalescence-mBHI-p5_S3,0.0008711361737677526,0.0038955903449136155
E4-e003Coalescence-mBHI-p7_S99,0.00020885547201336674,0.0015133162851618536
E4-e003Coalescence-mGAM-p3_S59,0.00021418128654970763,0.9348281045343978
E4-e003Coalescence-mGAM-p5_S51,0.00019152046783625732,0.977587288717021
E4-e003Coalescence-mGAM-p7_S147,0.00018347953216374272,0.8888306617601197
G2-e003Coalescence-mBHI-p3_S33,0.0010043859649122807,0.025818062745587227
G2-e003Coalescence-mBHI-p5_S25,0.0035249582289055984,0.0016441090251356576
G2-e003Coalescence-mBHI-p7_S121,0.000614766081871345,7.278737603692384e-05
G2-e003Coalescence-mGAM-p3_S81,0.00036810776942355905,0.6823330006860849
G2-e003Coalescence-mGAM-p5_S73,0.00024331662489557226,0.9784062870329945
