,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,0.971026455026455,0.7875000000000001
D5-e003Coalescence-Inoculumn-mGAM,0.7583835978835979,0.894
B11-e003Coalescence-mBHI-p3,0.8466269841269841,0.7335
B11-e003Coalescence-mGAM-p3,0.9763994708994709,0.883
B11-e003Coalescence-mGAM-p7,0.4606349206349206,0.08950000000000002
B5-e003Coalescence-Inoculumn-mGAM,0.9372645502645505,0.915
D3-e003Coalescence-Inoculumn-mGAM,0.9516137566137566,0.8165
D9-e003Coalescence-mBHI-p3,0.7476137566137565,0.5
D9-e003Coalescence-mBHI-p5,0.9326190476190476,0.8565
D9-e003Coalescence-mBHI-p7,0.9585661375661376,0.8445
D9-e003Coalescence-mGAM-p3,0.9316931216931217,0.773
D9-e003Coalescence-mGAM-p5,0.616037037037037,0.15050000000000002
D9-e003Coalescence-mGAM-p7,0.45678306878306874,0.07500000000000001
F111-e003Coalescence-mBHI-p3_S120,0.7667857142857144,0.25
F111-e003Coalescence-mBHI-p5_S20,0.8870343915343915,0.5
F111-e003Coalescence-mBHI-p7_S116,0.7800211640211641,0.6085
F111-e003Coalescence-mGAM-p3_S168,0.6551878306878307,0.2245
F111-e003Coalescence-mGAM-p5_S68,0.8835423280423281,0.381
F111-e003Coalescence-mGAM-p7_S164,0.6116534391534391,0.14300000000000002
H9-e003Coalescence-mBHI-p5_S42,0.9328015873015875,0.49450000000000005
H9-e003Coalescence-mBHI-p7_S138,0.8942777777777777,0.5
H9-e003Coalescence-mGAM-p3_S190,0.8721666666666668,0.0
H9-e003Coalescence-mGAM-p5_S90,0.9455079365079366,0.5
H9-e003Coalescence-mGAM-p7_S186,0.830068783068783,0.347
