,0.025,0.025
A2-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
C4-e003Coalescence-mBHI-inoculumn-redo,0.0,1.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.49,0.223
A4-e003Coalescence-mBHI-p3,0.7962,0.0
A4-e003Coalescence-mBHI-p5,0.866575,0.0
A4-e003Coalescence-mBHI-p7,0.786,0.0
C2-e003Coalescence-mBHI-inoculumn-redo,0.43200000000000005,0.197
C2-e003Coalescence-mBHI-p3,0.929525,0.0
C2-e003Coalescence-mBHI-p5,0.821,0.0
C2-e003Coalescence-mBHI-p7,0.42900000000000005,0.0
C2-e003Coalescence-mGAM-p7,0.0,1.0
E4-e003Coalescence-mBHI-p3_S11,0.8,0.0
E4-e003Coalescence-mBHI-p5_S3,0.907,0.0
E4-e003Coalescence-mBHI-p7_S99,0.8043750000000001,0.0
G2-e003Coalescence-mBHI-p3_S33,0.77645,0.0
G2-e003Coalescence-mBHI-p5_S25,0.8144250000000001,0.0
G2-e003Coalescence-mBHI-p7_S121,0.6,0.0
