,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.9999678304976258,5.881271000470147e-05
D5-e003Coalescence-Inoculumn-mBHI,2.5896289166042752e-05,0.9999208530623728
A5-e003Coalescence-Inoculumn-mBHI,0.204,0.775
A5-e003Coalescence-mBHI-inoculumn-redo,0.208,0.776
A5-e003Coalescence-mBHI-p3,0.9941059959924784,0.004991273684886865
A5-e003Coalescence-mBHI-p7,0.969,0.028000000000000025
A5-e003Coalescence-mGAM-p3,0.889,0.09999999999999998
D2-e003Coalescence-Inoculumn-mBHI,0.329,0.647
D2-e003Coalescence-mBHI-p3,0.952,0.04400000000000004
D2-e003Coalescence-mBHI-p5,0.98,0.018000000000000016
D2-e003Coalescence-mBHI-p7,0.9887999244310448,0.009827225257216047
D2-e003Coalescence-mGAM-p5,0.966,0.031000000000000028
E5-e003Coalescence-mBHI-p3_S12,0.962,0.03300000000000003
E5-e003Coalescence-mBHI-p5_S4,0.981,0.015000000000000013
E5-e003Coalescence-mBHI-p7_S100,0.995,0.0030000000000000027
E5-e003Coalescence-mGAM-p3_S60,0.909,0.034474244491046
E5-e003Coalescence-mGAM-p5_S52,0.955,0.038000000000000034
E5-e003Coalescence-mGAM-p7_S148,0.99,0.002218711296430279
H2-e003Coalescence-mBHI-p3_S45,0.935,0.05600000000000005
H2-e003Coalescence-mBHI-p7_S133,0.955,0.038000000000000034
H2-e003Coalescence-mGAM-p3_S93,0.889,0.09499999999999997
H2-e003Coalescence-mGAM-p5_S85,0.9940077642505873,0.003704171036160457
H2-e003Coalescence-mGAM-p7_S181,0.9998116035538345,0.00011004352795205048
