,0.975,0.975
A2-e003Coalescence-mBHI-inoculumn-redo,1.0,0.714
B3-e003Coalescence-Inoculumn-mBHI,0.07099999999999997,1.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.5,1.0
A3-e003Coalescence-mBHI-p3,1.0,1.0
A3-e003Coalescence-mGAM-p7,0.0,1.0
B2-e003Coalescence-Inoculumn-mBHI,0.3986000000000004,1.0
B2-e003Coalescence-mBHI-p3,0.5,1.0
B2-e003Coalescence-mGAM-p3,0.2,1.0
E3-e003Coalescence-mBHI-p3_S10,0.5292249999999988,1.0
E3-e003Coalescence-mGAM-p3_S58,0.1922499999999991,1.0
E3-e003Coalescence-mGAM-p5_S50,0.132,1.0
E3-e003Coalescence-mGAM-p7_S146,0.115,1.0
F2-e003Coalescence-mBHI-p3_S21,0.667,1.0
F2-e003Coalescence-mBHI-p5_S13,1.0,1.0
F2-e003Coalescence-mGAM-p3_S69,0.2256999999999989,1.0
F2-e003Coalescence-mGAM-p5_S61,0.2034749999999999,1.0
F2-e003Coalescence-mGAM-p7_S157,0.206,1.0
