,0.025,0.025
A2-e003Coalescence-Inoculumn-mGAM,0.847,0.0
C4-e003Coalescence-Inoculumn-mGAM,0.0,0.8051
A10-e003Coalescence-mBHI-p5,0.0,0.0
A10-e003Coalescence-mBHI-p7,0.0,0.0
A10-e003Coalescence-mGAM-p3,0.22665000000000002,0.245
A10-e003Coalescence-mGAM-p7,0.47257499999999997,0.0
A4-e003Coalescence-Inoculumn-mGAM,0.658,0.06699999999999995
C2-e003Coalescence-Inoculumn-mGAM,0.655475,0.042
C8-e003Coalescence-mBHI-p5,0.29700000000000004,0.0
C8-e003Coalescence-mBHI-p7,0.0,0.0
C8-e003Coalescence-mGAM-p7,0.524825,0.0821
E100-e003Coalescence-mBHI-p5_S7,0.231,0.0
E100-e003Coalescence-mBHI-p7_S103,0.25,0.0
E100-e003Coalescence-mGAM-p3_S155,0.0,0.194
E100-e003Coalescence-mGAM-p5_S55,0.5,0.0
E100-e003Coalescence-mGAM-p7_S151,0.679,0.0
G8-e003Coalescence-mBHI-p3_S129,0.261,0.0
G8-e003Coalescence-mBHI-p5_S29,0.368,0.0
G8-e003Coalescence-mBHI-p7_S125,0.0,0.0
G8-e003Coalescence-mGAM-p3_S177,0.328,0.102
G8-e003Coalescence-mGAM-p5_S77,0.882,0.0
G8-e003Coalescence-mGAM-p7_S173,0.846,0.016
