,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,6293,20729
D5-e003Coalescence-Inoculumn-mGAM,6293,20729
B11-e003Coalescence-mBHI-p3,6149,20686
B11-e003Coalescence-mGAM-p3,6289,20720
B11-e003Coalescence-mGAM-p7,6280,20589
B5-e003Coalescence-Inoculumn-mGAM,6271,20692
D3-e003Coalescence-Inoculumn-mGAM,6289,20716
D9-e003Coalescence-mBHI-p3,4547,16723
D9-e003Coalescence-mBHI-p5,6050,20623
D9-e003Coalescence-mBHI-p7,6117,20657
D9-e003Coalescence-mGAM-p3,6284,20638
D9-e003Coalescence-mGAM-p5,6286,20700
D9-e003Coalescence-mGAM-p7,6284,20668
F111-e003Coalescence-mBHI-p3_S120,5926,20562
F111-e003Coalescence-mBHI-p5_S20,5710,20200
F111-e003Coalescence-mBHI-p7_S116,6174,20619
F111-e003Coalescence-mGAM-p3_S168,6104,19144
F111-e003Coalescence-mGAM-p5_S68,6074,18716
F111-e003Coalescence-mGAM-p7_S164,5940,18048
H9-e003Coalescence-mBHI-p5_S42,5970,20647
H9-e003Coalescence-mBHI-p7_S138,5915,20474
H9-e003Coalescence-mGAM-p3_S190,6185,19225
H9-e003Coalescence-mGAM-p5_S90,6158,19397
H9-e003Coalescence-mGAM-p7_S186,6118,19571
