,0.975,0.975
A2-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.09229999999999995,1.0
A5-e003Coalescence-Inoculumn-mBHI,0.788,0.842
A5-e003Coalescence-mBHI-inoculumn-redo,0.6675249999999999,0.7390749999999999
A5-e003Coalescence-mBHI-p3,1.0,0.7144999999999995
A5-e003Coalescence-mBHI-p7,0.6678999999999999,1.0
A5-e003Coalescence-mGAM-p3,0.542425,0.88675
D2-e003Coalescence-Inoculumn-mBHI,0.652,0.782
D2-e003Coalescence-mBHI-p3,0.7669249999999994,0.6216499999999999
D2-e003Coalescence-mBHI-p5,0.5676,0.9594249999999994
D2-e003Coalescence-mBHI-p7,0.0,1.0
D2-e003Coalescence-mGAM-p5,0.138,1.0
E5-e003Coalescence-mBHI-p3_S12,0.907,0.460025
E5-e003Coalescence-mBHI-p5_S4,0.6819999999999999,1.0
E5-e003Coalescence-mBHI-p7_S100,0.06100000000000002,1.0
E5-e003Coalescence-mGAM-p3_S60,0.684,1.0
E5-e003Coalescence-mGAM-p5_S52,0.222,1.0
E5-e003Coalescence-mGAM-p7_S148,0.38195000000000007,1.0
H2-e003Coalescence-mBHI-p3_S45,1.0,0.22789999999999988
H2-e003Coalescence-mBHI-p7_S133,0.23299999999999998,1.0
H2-e003Coalescence-mGAM-p3_S93,0.333,1.0
H2-e003Coalescence-mGAM-p5_S85,0.5,1.0
H2-e003Coalescence-mGAM-p7_S181,0.88885,1.0
