,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.0,1.0
D5-e003Coalescence-Inoculumn-mBHI,1.0,0.0
A5-e003Coalescence-mBHI-inoculumn-redo,0.005382131324004306,0.5065065065065065
A5-e003Coalescence-mBHI-p7,0.0,0.9069069069069069
D2-e003Coalescence-Inoculumn-mBHI,0.005382131324004306,0.5785785785785785
D2-e003Coalescence-mBHI-p5,0.0,0.7877877877877878
D2-e003Coalescence-mGAM-p5,0.0,0.8448448448448449
E5-e003Coalescence-mBHI-p3_S12,0.0,0.9479479479479479
E5-e003Coalescence-mBHI-p5_S4,0.0,0.8998998998998999
E5-e003Coalescence-mBHI-p7_S100,0.0,0.993993993993994
E5-e003Coalescence-mGAM-p7_S148,0.0,0.968968968968969
H2-e003Coalescence-mBHI-p7_S133,0.0,0.8788788788788788
H2-e003Coalescence-mGAM-p3_S93,0.0,0.6406406406406406
H2-e003Coalescence-mGAM-p7_S181,0.0,0.986986986986987
