,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-mBHI-inoculumn-redo,9864,20696
C4-e003Coalescence-mBHI-inoculumn-redo,9864,20696
A4-e003Coalescence-mBHI-inoculumn-redo,9861,20692
A4-e003Coalescence-mBHI-p7,8635,18185
A4-e003Coalescence-mGAM-p5,9812,20537
C2-e003Coalescence-mBHI-inoculumn-redo,9832,20668
C2-e003Coalescence-mBHI-p3,5925,12130
C2-e003Coalescence-mGAM-p3,9656,20153
C2-e003Coalescence-mGAM-p5,9861,20671
C2-e003Coalescence-mGAM-p7,9863,20695
E4-e003Coalescence-mBHI-p3_S11,2735,5580
E4-e003Coalescence-mBHI-p7_S99,2565,6747
E4-e003Coalescence-mGAM-p3_S59,9735,20290
E4-e003Coalescence-mGAM-p5_S51,9856,20650
E4-e003Coalescence-mGAM-p7_S147,9863,20691
G2-e003Coalescence-mBHI-p3_S33,4040,8198
G2-e003Coalescence-mGAM-p3_S81,9794,20459
G2-e003Coalescence-mGAM-p5_S73,9854,20635
