,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,11967,26594
D5-e003Coalescence-Inoculumn-mBHI,11967,26594
A5-e003Coalescence-Inoculumn-mBHI,9124,20686
A5-e003Coalescence-mBHI-inoculumn-redo,11755,26245
A5-e003Coalescence-mBHI-p7,11712,25702
A5-e003Coalescence-mGAM-p3,11887,26375
D2-e003Coalescence-Inoculumn-mBHI,11143,24966
D2-e003Coalescence-mBHI-p3,11869,26308
D2-e003Coalescence-mBHI-p5,11131,24623
D2-e003Coalescence-mGAM-p5,11960,26550
E5-e003Coalescence-mBHI-p3_S12,10708,22876
E5-e003Coalescence-mBHI-p5_S4,11413,24878
E5-e003Coalescence-mBHI-p7_S100,10999,23938
E5-e003Coalescence-mGAM-p3_S60,11779,25831
E5-e003Coalescence-mGAM-p5_S52,11902,26252
E5-e003Coalescence-mGAM-p7_S148,11958,26529
H2-e003Coalescence-mBHI-p3_S45,11818,25923
H2-e003Coalescence-mBHI-p7_S133,11327,24599
H2-e003Coalescence-mGAM-p3_S93,11925,26341
H2-e003Coalescence-mGAM-p5_S85,8079,16313
H2-e003Coalescence-mGAM-p7_S181,11963,26536
