,0.975,0.975
B3-e003Coalescence-Inoculumn-mBHI,1.0,0.33299999999999996
C4-e003Coalescence-mBHI-inoculumn-redo,0.0,1.0
B4-e003Coalescence-Inoculumn-mBHI,0.469,1.0
B4-e003Coalescence-mBHI-p3,1.0,0.5
B4-e003Coalescence-mGAM-p5,0.341,0.892
C3-e003Coalescence-mBHI-inoculumn-redo,0.4555,1.0
C3-e003Coalescence-mBHI-p5,1.0,0.25
C3-e003Coalescence-mBHI-p7,1.0,0.226
C3-e003Coalescence-mGAM-p3,0.556,0.615
C3-e003Coalescence-mGAM-p5,0.271,0.856
C3-e003Coalescence-mGAM-p7,0.31999999999999995,0.784
F4-e003Coalescence-mBHI-p3_S23,1.0,0.5
F4-e003Coalescence-mBHI-p5_S15,1.0,0.562
F4-e003Coalescence-mBHI-p7_S111,1.0,1.0
F4-e003Coalescence-mGAM-p3_S71,0.589,0.586
F4-e003Coalescence-mGAM-p5_S63,0.6859999999999999,0.58
F4-e003Coalescence-mGAM-p7_S159,0.755,0.402
G3-e003Coalescence-mBHI-p3_S34,0.8959250000000002,0.43300000000000005
G3-e003Coalescence-mBHI-p5_S26,1.0,0.20899999999999996
G3-e003Coalescence-mBHI-p7_S122,1.0,0.333
G3-e003Coalescence-mGAM-p3_S82,0.258,0.869
G3-e003Coalescence-mGAM-p5_S74,0.148,0.955
