,0.975,0.975
C4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,1.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.658,0.727
C5-e003Coalescence-mBHI-p5,1.0,0.769
C5-e003Coalescence-mBHI-p7,0.781,0.6839999999999999
C5-e003Coalescence-mGAM-p3,0.935,0.22099999999999997
C5-e003Coalescence-mGAM-p7,0.5896750000000002,0.75
D4-e003Coalescence-Inoculumn-mBHI,0.623,0.708
D4-e003Coalescence-mBHI-p3,1.0,1.0
D4-e003Coalescence-mBHI-p5,1.0,1.0
D4-e003Coalescence-mBHI-p7,1.0,1.0
D4-e003Coalescence-mGAM-p3,0.857,0.289
D4-e003Coalescence-mGAM-p5,0.6042999999999993,0.725
D4-e003Coalescence-mGAM-p7,0.6436499999999996,0.649
G5-e003Coalescence-mBHI-p3_S36,1.0,1.0
G5-e003Coalescence-mBHI-p5_S28,0.6543249999999998,0.8721500000000005
G5-e003Coalescence-mBHI-p7_S124,0.6554499999999999,1.0
G5-e003Coalescence-mGAM-p3_S84,0.96,0.186
G5-e003Coalescence-mGAM-p5_S76,0.833,0.40900000000000003
G5-e003Coalescence-mGAM-p7_S172,0.516,0.7969999999999999
H4-e003Coalescence-mBHI-p3_S47,0.667,1.0
H4-e003Coalescence-mBHI-p5_S39,0.625,1.0
H4-e003Coalescence-mBHI-p7_S135,1.0,1.0
H4-e003Coalescence-mGAM-p3_S95,1.0,0.625
H4-e003Coalescence-mGAM-p5_S87,0.5,1.0
H4-e003Coalescence-mGAM-p7_S183,0.542,1.0
