,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,0.0,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.05390608549168246,0.0
B5-e003Coalescence-Inoculumn-mBHI,0.0014739945251631922,0.0
B5-e003Coalescence-mBHI-p3,0.07703376149364778,0.03543913713405239
B5-e003Coalescence-mGAM-p3,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0018600407103249808,0.01078582434514638
B5-e003Coalescence-mGAM-p7,0.0002456657541938654,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.0
D3-e003Coalescence-mGAM-p3,0.024601670527128517,0.0
D3-e003Coalescence-mGAM-p5,0.000596616831613673,0.0
F5-e003Coalescence-mGAM-p3_S72,0.0,0.0
F5-e003Coalescence-mGAM-p5_S64,3.5095107741980765e-05,0.0
F5-e003Coalescence-mGAM-p7_S160,0.0,0.0
H3-e003Coalescence-mBHI-p3_S46,0.028602512809714327,0.009244992295839754
H3-e003Coalescence-mGAM-p3_S94,0.0,0.0
H3-e003Coalescence-mGAM-p5_S86,0.0003158559696778269,0.0015408320493066256
H3-e003Coalescence-mGAM-p7_S182,0.0002105706464518846,0.0
